set_name	color_class	genes	match_rule	matched_genes	matched_gene_count	component	dominant_module	source_corpus	paper_key	cell_type	normalized_cell_type	n_markers	marker_names
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CLUSTER 2 CD4+ T CELL	CLUSTER 2 CD 4 T CELL	3	CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CSF-UNEXPANDED T CELL	CSF UNEXPANDED T CELL	6	TCF7;CCR7;LEF1;ITGB1;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2			hca	hca:0515_10.1084_jem.20201189_d8d9a9e257	DP ΑΒΓΔ SKIN T CELL	DP SKIN T CELL	5	CD38;CCR7;CD34;SELL;PECAM1
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	NAIVE OR TCM CELL	NAIVE OR TCM CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	NAIVE T CELLS OR TCMS	NAIVE T CELLS OR TCMS	4	TCF7;CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE CD4+ T CELL	NAIVE CD 4 T CELL	5	TCF7;CCR7;KLF2;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2			biorxiv	biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820	NAÏVE CD8+ T CELL	NAIVE CD 8 T CELL	8	TXK;CCR7;LEF1;NOSIP;TMEM123;LDLRAP1;NRP2;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	NAÏVE T CELL	NAIVE T CELL	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	NAÏVE T CELL	NAIVE T CELL	6	CD4;TCF7;CCR7;IL7R;SELL;LTB
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE T CELLS	NAIVE T CELLS	5	TCF7;CCR7;KLF2;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2			hca	hca:0382_10.1371_journal.pbio.3002124_f92c982127	REGULATORY T CELLS	REGULATORY T CELLS	8	CCR7;IL2RA;CTLA4;ICOS;TIGIT;SOCS1;TNFRSF4;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0142_10.1016_j.immuni.2023.01.032_b86bd8b65d	T CELL	T CELL	5	CD44;CD69;CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TCM	TCM	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	TCM	TCM	4	CCR7;KLF2;CD3D;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TN	TN	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	TREG.1	TREG 1	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	SELL	1			biorxiv	biorxiv:41a5df78-7c74-1014-a3a2-9b6aef50b1e5	B7H3.BC CAR-T CELLS	B 7 H 3 BC CAR T CELLS	6	NDUFB2;KLF2;COX7B;MYC;NDUFS6;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	SELL	1	1.0	Naive/memory	hca	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	CD4 + NAIVE/CENTRAL MEMORY (NV/CM)	CD 4 NAIVE CENTRAL MEMORY NV CM	3	KLF2;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1			biorxiv	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb	CD4 T CELL	CD 4 T CELL	4	CCR7;RPS4Y1;RPL13A;NBEAL1
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1	1.0	Naive/memory	hca	hca:0140_10.1101_2021.03.01.21252411_572fc1288d	CD4+ T CELL	CD 4 T CELL	3	CCR7;CD27;IL7R
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1	1.0	Naive/memory	hca	hca:0207_10.1016_j.immuni.2020.11.017_b182001861	CD4+ T CELL	CD 4 T CELL	3	CD4;CCR7;CD3G
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	SELL	1			hca	hca:0219_10.1016_j.cell.2020.06.026_35457f0d2b	CD4+ T CELL	CD 4 T CELL	11	CD4;CD44;FOXP3;AREG;CD69;NR4A1;IL2RA;KLRG1;CD3D;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1			hca	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CD4+ T CELL	CD 4 T CELL	4	CD4;CCR7;LEF1;IL7R
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1			hca	hca:0364_10.1161_circulationaha.120.046528_00aa2deb4c	CD4_EM_REST	CD 4 EM REST	4	KLRB1;CCL20;CCR7;IL7R
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1	1.0	Naive/memory	biorxiv	biorxiv:9ca649fd-6cf8-1014-8427-cac0001a663e	MEMORY CD4+ T CELL	MEMORY CD 4 T CELL	3	CCR7;IL7R;S100A4
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1	1.0	Naive/memory	hca	hca:0465_10.1016_j.cell.2020.12.016_af8ed7d941	NAIVE T CELL	NAIVE T CELL	3	CCR7;CD27;CD3G
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	SELL	1	1.0	Naive/memory	hca	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	NAÏVE CD4+ T CELL	NAIVE CD 4 T CELL	3	TCF7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1			hca	hca:0362_10.1038_s41591-019-0733-7_d499f1b21b	PBMC T CELL SUBCLUSTER	PBMC T CELL SUBCLUSTER	3	CCR7;CCR4;CCR10
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1			biorxiv	biorxiv:380e1251-6c2c-1014-8b2d-a217f3491f5e	TCM	TCM	4	KLRB1;CCR7;KLRG1;RORC
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7	1			hca	hca:0394_10.1038_s41591-021-01329-2_7dcc6ae73c	ΑΒ T CELLS	T CELLS	4	IKZF2;FOXP3;CD40LG;CCR7
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0233_10.1038_s41590-025-02241-4_110ace5bba	CD4 + AND CD8 + T RM CELL	CD 4 AND CD 8 T RM CELL	5	TCF7;ITGA6;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + NAÏVE	CD 4 NAIVE	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD4 NAÏVE BLOOD	CD 4 NAIVE BLOOD	3	CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD4+ MEMORY CELL	CD 4 MEMORY CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2			biorxiv	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	CD4+ T CELL	CD 4 T CELL	7	CD4;CCR7;LEF1;MAL;AQP3;TSHZ2;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2			biorxiv	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CD4+ T CELL	CD 4 T CELL	28	IL32;TCF7;LAG3;CD69;GZMK;ITGA4;CD2;DUSP1;CXCR4;CCR7;LEF1;KLRG1;CD27;GZMA;ITGB1;DUSP2;CCR5;EOMES;HCST;FOS;HOPX;JUN;TIGIT;LCK;CXCR3;PDCD1;SELL;CCL5
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2			biorxiv	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	CD4+ TEM	CD 4 TEM	8	GZMB;NKG7;IFNG;CCR7;IL7R;PRF1;SELL;TNF
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.9	CD 4 9	7	TCF7;CCR7;LEF1;TIGIT;PDCD1;SELL;TOX
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_1	CD 4 1	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_3	CD 4 3	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD8 NAÏVE BLOOD	CD 8 NAIVE BLOOD	3	CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0354_10.1172_jci128475_002a5124c6	CD8+ T CELL	CD 8 T CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.2	CD 8 2	5	TCF7;GZMK;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD8_4	CD 8 4	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	CENTRAL MEMORY T CELL	CENTRAL MEMORY T CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CLUSTER 2 CD4+ T CELL	CLUSTER 2 CD 4 T CELL	3	CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CSF-UNEXPANDED T CELL	CSF UNEXPANDED T CELL	6	TCF7;CCR7;LEF1;ITGB1;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2			hca	hca:0515_10.1084_jem.20201189_d8d9a9e257	DP ΑΒΓΔ SKIN T CELL	DP SKIN T CELL	5	CD38;CCR7;CD34;SELL;PECAM1
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	NAIVE OR TCM CELL	NAIVE OR TCM CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	NAIVE T CELLS OR TCMS	NAIVE T CELLS OR TCMS	4	TCF7;CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE CD4+ T CELL	NAIVE CD 4 T CELL	5	TCF7;CCR7;KLF2;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2			biorxiv	biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820	NAÏVE CD8+ T CELL	NAIVE CD 8 T CELL	8	TXK;CCR7;LEF1;NOSIP;TMEM123;LDLRAP1;NRP2;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	NAÏVE T CELL	NAIVE T CELL	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	NAÏVE T CELL	NAIVE T CELL	6	CD4;TCF7;CCR7;IL7R;SELL;LTB
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE T CELLS	NAIVE T CELLS	5	TCF7;CCR7;KLF2;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2			hca	hca:0382_10.1371_journal.pbio.3002124_f92c982127	REGULATORY T CELLS	REGULATORY T CELLS	8	CCR7;IL2RA;CTLA4;ICOS;TIGIT;SOCS1;TNFRSF4;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0142_10.1016_j.immuni.2023.01.032_b86bd8b65d	T CELL	T CELL	5	CD44;CD69;CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TCM	TCM	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	TCM	TCM	4	CCR7;KLF2;CD3D;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TN	TN	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	TREG.1	TREG 1	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0233_10.1038_s41590-025-02241-4_110ace5bba	CD4 + AND CD8 + T RM CELL	CD 4 AND CD 8 T RM CELL	5	TCF7;ITGA6;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + NAÏVE	CD 4 NAIVE	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD4 NAÏVE BLOOD	CD 4 NAIVE BLOOD	3	CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD4+ MEMORY CELL	CD 4 MEMORY CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2			biorxiv	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	CD4+ T CELL	CD 4 T CELL	7	CD4;CCR7;LEF1;MAL;AQP3;TSHZ2;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2			biorxiv	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CD4+ T CELL	CD 4 T CELL	28	IL32;TCF7;LAG3;CD69;GZMK;ITGA4;CD2;DUSP1;CXCR4;CCR7;LEF1;KLRG1;CD27;GZMA;ITGB1;DUSP2;CCR5;EOMES;HCST;FOS;HOPX;JUN;TIGIT;LCK;CXCR3;PDCD1;SELL;CCL5
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2			biorxiv	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	CD4+ TEM	CD 4 TEM	8	GZMB;NKG7;IFNG;CCR7;IL7R;PRF1;SELL;TNF
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.9	CD 4 9	7	TCF7;CCR7;LEF1;TIGIT;PDCD1;SELL;TOX
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_1	CD 4 1	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_3	CD 4 3	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD8 NAÏVE BLOOD	CD 8 NAIVE BLOOD	3	CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0354_10.1172_jci128475_002a5124c6	CD8+ T CELL	CD 8 T CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.2	CD 8 2	5	TCF7;GZMK;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD8_4	CD 8 4	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	CENTRAL MEMORY T CELL	CENTRAL MEMORY T CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CLUSTER 2 CD4+ T CELL	CLUSTER 2 CD 4 T CELL	3	CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CSF-UNEXPANDED T CELL	CSF UNEXPANDED T CELL	6	TCF7;CCR7;LEF1;ITGB1;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2			hca	hca:0515_10.1084_jem.20201189_d8d9a9e257	DP ΑΒΓΔ SKIN T CELL	DP SKIN T CELL	5	CD38;CCR7;CD34;SELL;PECAM1
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	NAIVE OR TCM CELL	NAIVE OR TCM CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	NAIVE T CELLS OR TCMS	NAIVE T CELLS OR TCMS	4	TCF7;CCR7;IL7R;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE CD4+ T CELL	NAIVE CD 4 T CELL	5	TCF7;CCR7;KLF2;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2			biorxiv	biorxiv:5daa9342-6d02-1014-8cb5-fa421631d820	NAÏVE CD8+ T CELL	NAIVE CD 8 T CELL	8	TXK;CCR7;LEF1;NOSIP;TMEM123;LDLRAP1;NRP2;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	NAÏVE T CELL	NAIVE T CELL	4	TCF7;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	NAÏVE T CELL	NAIVE T CELL	6	CD4;TCF7;CCR7;IL7R;SELL;LTB
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE T CELLS	NAIVE T CELLS	5	TCF7;CCR7;KLF2;LEF1;SELL
