component	source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	n_markers	marker_names	marker_ids	dominant_module
1	hca	0140_10.1101_2021.03.01.21252411_572fc1288d	hca:0140_10.1101_2021.03.01.21252411_572fc1288d	CD4+ T CELL	CD 4 T CELL	3	CCR7;CD27;IL7R	ENSG00000126353;ENSG00000139193;ENSG00000168685	Naive/memory
1	hca	0142_10.1016_j.immuni.2023.01.032_b86bd8b65d	hca:0142_10.1016_j.immuni.2023.01.032_b86bd8b65d	T CELL	T CELL	5	CD44;CD69;CCR7;IL7R;SELL	ENSG00000026508;ENSG00000110848;ENSG00000126353;ENSG00000168685;ENSG00000188404	Naive/memory
1	hca	0207_10.1016_j.immuni.2020.11.017_b182001861	hca:0207_10.1016_j.immuni.2020.11.017_b182001861	CD4+ T CELL	CD 4 T CELL	3	CD4;CCR7;CD3G	ENSG00000010610;ENSG00000126353;ENSG00000289746	Naive/memory
1	hca	0215_10.1038_s42003-020-01625-6_cc9e14f4ea	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_1	CD 4 1	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0215_10.1038_s42003-020-01625-6_cc9e14f4ea	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_3	CD 4 3	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0215_10.1038_s42003-020-01625-6_cc9e14f4ea	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD8_4	CD 8 4	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0233_10.1038_s41590-025-02241-4_110ace5bba	hca:0233_10.1038_s41590-025-02241-4_110ace5bba	CD4 + AND CD8 + T RM CELL	CD 4 AND CD 8 T RM CELL	5	TCF7;ITGA6;CCR7;LEF1;SELL	ENSG00000081059;ENSG00000091409;ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	hca	0264_10.1186_s13059-022-02677-z_ec9d743757	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD4+ MEMORY CELL	CD 4 MEMORY CELL	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0354_10.1172_jci128475_002a5124c6	hca:0354_10.1172_jci128475_002a5124c6	CD8+ T CELL	CD 8 T CELL	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0366_10.1038_s41467-021-22164-6_097f05776f	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE CD4+ T CELL	NAIVE CD 4 T CELL	5	TCF7;CCR7;KLF2;LEF1;SELL	ENSG00000081059;ENSG00000126353;ENSG00000127528;ENSG00000138795;ENSG00000188404	Naive/memory
1	hca	0366_10.1038_s41467-021-22164-6_097f05776f	hca:0366_10.1038_s41467-021-22164-6_097f05776f	NAÏVE T CELLS	NAIVE T CELLS	5	TCF7;CCR7;KLF2;LEF1;SELL	ENSG00000081059;ENSG00000126353;ENSG00000127528;ENSG00000138795;ENSG00000188404	Naive/memory
1	hca	0379_10.1038_s41698-022-00300-9_7bb9a273c6	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	NAÏVE CD4+ T CELL	NAIVE CD 4 T CELL	3	TCF7;IL7R;SELL	ENSG00000081059;ENSG00000168685;ENSG00000188404	Naive/memory
1	hca	0405_10.1016_j.ccell.2021.03.007_50f32173d6	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + NAÏVE	CD 4 NAIVE	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0426_10.1038_s41467-019-12464-3_0f8440336d	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	CD4 + NAIVE/CENTRAL MEMORY (NV/CM)	CD 4 NAIVE CENTRAL MEMORY NV CM	3	KLF2;LEF1;SELL	ENSG00000127528;ENSG00000138795;ENSG00000188404	Naive/memory
1	hca	0426_10.1038_s41467-019-12464-3_0f8440336d	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	NAIVE OR TCM CELL	NAIVE OR TCM CELL	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
1	hca	0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca:0465_10.1016_j.cell.2020.12.016_af8ed7d941	NAIVE T CELL	NAIVE T CELL	3	CCR7;CD27;CD3G	ENSG00000126353;ENSG00000139193;ENSG00000289746	Naive/memory
1	hca	0474_10.3389_fimmu.2021.689019_ff96e36403	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CLUSTER 2 CD4+ T CELL	CLUSTER 2 CD 4 T CELL	3	CCR7;IL7R;SELL	ENSG00000126353;ENSG00000168685;ENSG00000188404	Naive/memory
1	hca	0501_10.1126_sciimmunol.abb8786_1f1edec8bd	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD4 NAÏVE BLOOD	CD 4 NAIVE BLOOD	3	CCR7;LEF1;SELL	ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	hca	0501_10.1126_sciimmunol.abb8786_1f1edec8bd	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD8 NAÏVE BLOOD	CD 8 NAIVE BLOOD	3	CCR7;LEF1;SELL	ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
2	biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ EXHAUSTED T CELL (TEXH)	CD 8 EXHAUSTED T CELL TEXH	3	LAG3;HAVCR2;PDCD1	ENSG00000089692;ENSG00000135077;ENSG00000188389	Exhaustion
2	biorxiv	380e1251-6c2c-1014-8b2d-a217f3491f5e	biorxiv:380e1251-6c2c-1014-8b2d-a217f3491f5e	TREG	TREG	3	IL2RA;RORC;IL7R	ENSG00000134460;ENSG00000143365;ENSG00000168685	Naive/memory
2	biorxiv	72d8cdf5-6fa5-1014-b805-ea9c7c557043	biorxiv:72d8cdf5-6fa5-1014-b805-ea9c7c557043	EXHAUSTED CD8 T CELL	EXHAUSTED CD 8 T CELL	3	CXCL13;PDCD1;TOX	ENSG00000156234;ENSG00000188389;ENSG00000198846	Exhaustion
2	biorxiv	8060bfa3-6d4f-1014-b2ea-be74caad434f	biorxiv:8060bfa3-6d4f-1014-b2ea-be74caad434f	CD4+ T CELL	CD 4 T CELL	4	HAVCR2;CTLA4;TIGIT;PDCD1	ENSG00000135077;ENSG00000163599;ENSG00000181847;ENSG00000188389	Exhaustion
2	biorxiv	96c0ca44-7598-1014-bd6e-c97aae1f298a	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TREG	TREG	4	FOXP3;BATF;CTLA4;ICOS	ENSG00000049768;ENSG00000156127;ENSG00000163599;ENSG00000163600	Exhaustion
2	biorxiv	9e5c18fc-76e5-1014-9f81-96148d260e0f	biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f	REGULATORY T CELL	REGULATORY T CELL	3	FOXP3;IL2RA;IL7R	ENSG00000049768;ENSG00000134460;ENSG00000168685	Regulatory
2	biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	EXHAUSTED T CELL	EXHAUSTED T CELL	5	CD38;CD101;HAVCR2;CTLA4;PDCD1	ENSG00000004468;ENSG00000134256;ENSG00000135077;ENSG00000163599;ENSG00000188389	Exhaustion
2	biorxiv	d2042444-7138-1014-94ac-a1f590fd3173	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	CD8+ PROLIFERATING T CELL	CD 8 PROLIFERATING T CELL	4	SIRPG;LAG3;HAVCR2;TIGIT	ENSG00000089012;ENSG00000089692;ENSG00000135077;ENSG00000181847	Exhaustion
2	biorxiv	d2042444-7138-1014-94ac-a1f590fd3173	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	TREG	TREG	5	IL2RA;CTLA4;TIGIT;TNFRSF4;TNFRSF18	ENSG00000134460;ENSG00000163599;ENSG00000181847;ENSG00000186827;ENSG00000186891	Regulatory
2	biorxiv	de6d33dd-734f-1014-a302-e21bedf0ba65	biorxiv:de6d33dd-734f-1014-a302-e21bedf0ba65	EXHAUSTION-LIKE CD8+ CAR-T CELL	EXHAUSTION LIKE CD 8 CAR T CELL	5	TNFRSF9;HAVCR2;CTLA4;TIGIT;CCL3	ENSG00000049249;ENSG00000135077;ENSG00000163599;ENSG00000181847;ENSG00000274221	Exhaustion
2	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.10	CD 4 10	6	LAG3;CXCL13;CTLA4;TIGIT;PDCD1;TOX	ENSG00000089692;ENSG00000156234;ENSG00000163599;ENSG00000181847;ENSG00000188389;ENSG00000198846	Exhaustion
2	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.4	CD 4 4	4	IKZF2;FOXP3;IL2RA;CTLA4	ENSG00000030419;ENSG00000049768;ENSG00000134460;ENSG00000163599	Regulatory
2	hca	0047_10.15252_embj.2020107333_a4d0f57474	hca:0047_10.15252_embj.2020107333_a4d0f57474	TREG	TREG	4	FOXP3;HAVCR2;CTLA4;TIGIT	ENSG00000049768;ENSG00000135077;ENSG00000163599;ENSG00000181847	Exhaustion
2	hca	0047_10.15252_embj.2020107333_a4d0f57474	hca:0047_10.15252_embj.2020107333_a4d0f57474	TREG SUBSET	TREG SUBSET	5	LAG3;HAVCR2;BATF;CTLA4;TIGIT	ENSG00000089692;ENSG00000135077;ENSG00000156127;ENSG00000163599;ENSG00000181847	Exhaustion
2	hca	0098_10.1038_s41586-020-03148-w_f50cb505c0	hca:0098_10.1038_s41586-020-03148-w_f50cb505c0	TREG	TREG	3	FOXP3;IL2RA;IL7R	ENSG00000049768;ENSG00000134460;ENSG00000168685	Regulatory
2	hca	0124_10.1126_science.aba6500_a77c502bf7	hca:0124_10.1126_science.aba6500_a77c502bf7	TREG	TREG	3	FOXP3;CTLA4;TIGIT	ENSG00000049768;ENSG00000163599;ENSG00000181847	Exhaustion
2	hca	0151_10.1038_s41586-022-04718-w_1bf3167cbc	hca:0151_10.1038_s41586-022-04718-w_1bf3167cbc	CD4+ T REG	CD 4 T REG	3	HAVCR2;ICOS;PDCD1	ENSG00000135077;ENSG00000163600;ENSG00000188389	Exhaustion
2	hca	0215_10.1038_s42003-020-01625-6_cc9e14f4ea	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_5	CD 4 5	7	FOXP3;IL2RA;CTLA4;CCR8;TIGIT;TNFRSF18;LAYN	ENSG00000049768;ENSG00000134460;ENSG00000163599;ENSG00000179934;ENSG00000181847;ENSG00000186891;ENSG00000204381	Regulatory
2	hca	0215_10.1038_s42003-020-01625-6_cc9e14f4ea	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD8_0	CD 8 0	6	IFNG;HAVCR2;CTLA4;PRF1;TIGIT;PDCD1	ENSG00000111537;ENSG00000135077;ENSG00000163599;ENSG00000180644;ENSG00000181847;ENSG00000188389	Exhaustion
2	hca	0264_10.1186_s13059-022-02677-z_ec9d743757	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	FOXP3 CD4+ TREG	FOXP 3 CD 4 TREG	3	FOXP3;LAG3;CTLA4	ENSG00000049768;ENSG00000089692;ENSG00000163599	Exhaustion
2	hca	0319_10.1016_j.cell.2018.05.060_d1a05e99e8	hca:0319_10.1016_j.cell.2018.05.060_d1a05e99e8	EXHAUSTED T-CELL, T-REGULATORY CELL	EXHAUSTED T CELL T REGULATORY CELL	6	FOXP3;LAG3;CTLA4;TIGIT;TNFRSF4;PDCD1	ENSG00000049768;ENSG00000089692;ENSG00000163599;ENSG00000181847;ENSG00000186827;ENSG00000188389	Exhaustion
2	hca	0339_10.7150_thno.65694_e762e5f2bb	hca:0339_10.7150_thno.65694_e762e5f2bb	CD8+ T CELL SUBCLUSTER	CD 8 T CELL SUBCLUSTER	5	CD44;CD96;CTLA4;TIGIT;PDCD1	ENSG00000026508;ENSG00000153283;ENSG00000163599;ENSG00000181847;ENSG00000188389	Exhaustion
2	hca	0349_10.1038_s41467-023-36296-4_67ae3c1e19	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	CTLA4+ CD8+ T CELL	CTLA 4 CD 8 T CELL	4	LAG3;HAVCR2;CTLA4;TIGIT	ENSG00000089692;ENSG00000135077;ENSG00000163599;ENSG00000181847	Exhaustion
2	hca	0379_10.1038_s41698-022-00300-9_7bb9a273c6	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	TREG	TREG	4	TNFRSF9;CD80;CTLA4;TIGIT	ENSG00000049249;ENSG00000121594;ENSG00000163599;ENSG00000181847	Exhaustion
2	hca	0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	hca:0402_10.1016_j.cell.2021.04.038_26e3dc6d2f	CD8 T CELL	CD 8 T CELL	3	LAG3;TOX2;PDCD1	ENSG00000089692;ENSG00000124191;ENSG00000188389	Exhaustion
2	hca	0405_10.1016_j.ccell.2021.03.007_50f32173d6	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + TREG	CD 4 TREG	4	FOXP3;BATF;CTLA4;TIGIT	ENSG00000049768;ENSG00000156127;ENSG00000163599;ENSG00000181847	Exhaustion
2	hca	0420_10.1111_cas.15979_052ebae233	hca:0420_10.1111_cas.15979_052ebae233	EXHAUSTED CD8+ T CELL	EXHAUSTED CD 8 T CELL	6	LAG3;HAVCR2;CTLA4;TIGIT;PDCD1;LAYN	ENSG00000089692;ENSG00000135077;ENSG00000163599;ENSG00000181847;ENSG00000188389;ENSG00000204381	Exhaustion
2	hca	0426_10.1038_s41467-019-12464-3_0f8440336d	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	REGULATORY T CELL (TREG)	REGULATORY T CELL TREG	3	FOXP3;IL2RA;CTLA4	ENSG00000049768;ENSG00000134460;ENSG00000163599	Regulatory
2	hca	0432_10.1172_jci.insight.156341_02dc39adcf	hca:0432_10.1172_jci.insight.156341_02dc39adcf	TREG	TREG	5	FOXP3;CD27;CTLA4;ICOS;TIGIT	ENSG00000049768;ENSG00000139193;ENSG00000163599;ENSG00000163600;ENSG00000181847	Exhaustion
2	hca	0474_10.3389_fimmu.2021.689019_ff96e36403	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	TREG	TREG	7	TNFRSF9;FOXP3;IL2RA;CTLA4;ICOS;CD28;TIGIT	ENSG00000049249;ENSG00000049768;ENSG00000134460;ENSG00000163599;ENSG00000163600;ENSG00000178562;ENSG00000181847	Exhaustion
2	hca	0506_10.1038_s41591-022-01680-y_160aaf8b86	hca:0506_10.1038_s41591-022-01680-y_160aaf8b86	TREG	TREG	8	IKZF2;FOXP3;IL2RA;BATF;CTLA4;TNFRSF4;TNFRSF18;LAYN	ENSG00000030419;ENSG00000049768;ENSG00000134460;ENSG00000156127;ENSG00000163599;ENSG00000186827;ENSG00000186891;ENSG00000204381	Regulatory
3	biorxiv	315fa881-726d-1014-9d3d-bbe9b5731a1d	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	CD4-CTLS	CD 4 CTLS	5	GZMH;GZMB;NKG7;GNLY;GZMA	ENSG00000100450;ENSG00000100453;ENSG00000105374;ENSG00000115523;ENSG00000145649	Cytotoxic
3	biorxiv	315fa881-726d-1014-9d3d-bbe9b5731a1d	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	MAIT	MAIT	5	GZMH;GZMB;GZMK;GZMA;GZMM	ENSG00000100450;ENSG00000100453;ENSG00000113088;ENSG00000145649;ENSG00000197540	Cytotoxic
3	biorxiv	39623bbc-6d42-1014-9e37-a92d75e9c8ca	biorxiv:39623bbc-6d42-1014-9e37-a92d75e9c8ca	CD8+ T CELLS	CD 8 T CELLS	3	GZMB;IFNG;PRF1	ENSG00000100453;ENSG00000111537;ENSG00000180644	Cytotoxic
3	biorxiv	611722dd-8008-1014-b70e-fa0b81b0ac37	biorxiv:611722dd-8008-1014-b70e-fa0b81b0ac37	GZMH+ CD8+ T CELL	GZMH CD 8 T CELL	5	GZMH;GZMB;FGFBP2;SPON2;PRF1	ENSG00000100450;ENSG00000100453;ENSG00000137441;ENSG00000159674;ENSG00000180644	Cytotoxic
3	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.3	CD 8 3	5	NKG7;GNLY;FGFBP2;PRF1;FCGR3A	ENSG00000105374;ENSG00000115523;ENSG00000137441;ENSG00000180644;ENSG00000203747	Cytotoxic
3	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.5	CD 8 5	5	NKG7;GNLY;FGFBP2;PRF1;FCGR3A	ENSG00000105374;ENSG00000115523;ENSG00000137441;ENSG00000180644;ENSG00000203747	Cytotoxic
3	hca	0032_10.15252_msb.20209682_ea064ade0e	hca:0032_10.15252_msb.20209682_ea064ade0e	CYTOTOXIC T CELL	CYTOTOXIC T CELL	3	NKG7;GZMK;CCL5	ENSG00000105374;ENSG00000113088;ENSG00000271503	Cytotoxic
3	hca	0123_10.1371_journal.pone.0267704_5a8157f0f3	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	CYTOTOXIC T CELL	CYTOTOXIC T CELL	3	GZMB;GZMK;PRF1	ENSG00000100453;ENSG00000113088;ENSG00000180644	Cytotoxic
3	hca	0161_10.1681_asn.2020030326_bf5d42b566	hca:0161_10.1681_asn.2020030326_bf5d42b566	RECIPIENT T CELL	RECIPIENT T CELL	4	GZMB;NKG7;GNLY;PRF1	ENSG00000100453;ENSG00000105374;ENSG00000115523;ENSG00000180644	Cytotoxic
3	hca	0357_10.1126_science.abf1970_a409ac73f2	hca:0357_10.1126_science.abf1970_a409ac73f2	CD8 GZMH	CD 8 GZMH	5	LAG3;GZMH;GZMB;PRF1;CCL5	ENSG00000089692;ENSG00000100450;ENSG00000100453;ENSG00000180644;ENSG00000271503	Cytotoxic
3	hca	0378_10.1101_2022.06.17.496207_92cb140ff3	hca:0378_10.1101_2022.06.17.496207_92cb140ff3	CD8 TRM	CD 8 TRM	4	GZMH;GZMB;GZMA;GZMM	ENSG00000100450;ENSG00000100453;ENSG00000145649;ENSG00000197540	Cytotoxic
3	hca	0378_10.1101_2022.06.17.496207_92cb140ff3	hca:0378_10.1101_2022.06.17.496207_92cb140ff3	CD8-GZMK	CD 8 GZMK	5	GZMH;GZMB;GZMK;GZMA;GZMM	ENSG00000100450;ENSG00000100453;ENSG00000113088;ENSG00000145649;ENSG00000197540	Cytotoxic
3	hca	0379_10.1038_s41698-022-00300-9_7bb9a273c6	hca:0379_10.1038_s41698-022-00300-9_7bb9a273c6	MEMORY CD8+ T CELL	MEMORY CD 8 T CELL	3	GZMB;GZMK;PRF1	ENSG00000100453;ENSG00000113088;ENSG00000180644	Cytotoxic
3	hca	0405_10.1016_j.ccell.2021.03.007_50f32173d6	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + EFFECTOR	CD 4 EFFECTOR	3	NKG7;GZMK;GZMA	ENSG00000105374;ENSG00000113088;ENSG00000145649	Cytotoxic
3	hca	0420_10.1111_cas.15979_052ebae233	hca:0420_10.1111_cas.15979_052ebae233	CD8+ CYTOTOXIC T CELL	CD 8 CYTOTOXIC T CELL	5	GZMB;NKG7;GZMK;GZMA;PRF1	ENSG00000100453;ENSG00000105374;ENSG00000113088;ENSG00000145649;ENSG00000180644	Cytotoxic
3	hca	0432_10.1172_jci.insight.156341_02dc39adcf	hca:0432_10.1172_jci.insight.156341_02dc39adcf	LN T CELL	LN T CELL	4	GZMH;GZMB;GNLY;PRF1	ENSG00000100450;ENSG00000100453;ENSG00000115523;ENSG00000180644	Cytotoxic
3	hca	0474_10.3389_fimmu.2021.689019_ff96e36403	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CLUSTER 4 T CELL	CLUSTER 4 T CELL	4	GNLY;FGFBP2;PRF1;FCGR3A	ENSG00000115523;ENSG00000137441;ENSG00000180644;ENSG00000203747	Cytotoxic
3	hca	0501_10.1126_sciimmunol.abb8786_1f1edec8bd	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD8 MEMORY BLOOD	CD 8 MEMORY BLOOD	4	NKG7;GZMK;S100A4;CCL5	ENSG00000105374;ENSG00000113088;ENSG00000196154;ENSG00000271503	Cytotoxic
3	hca	0506_10.1038_s41591-022-01680-y_160aaf8b86	hca:0506_10.1038_s41591-022-01680-y_160aaf8b86	ACTIVATED/EFFECTOR T CELL	ACTIVATED EFFECTOR T CELL	4	GZMB;CD40LG;GZMA;PRF1	ENSG00000100453;ENSG00000102245;ENSG00000145649;ENSG00000180644	Cytotoxic
4	biorxiv	1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	T CELL	T CELL	3	CD3D;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	Other
4	biorxiv	307b2bd7-6cb9-1014-a6b4-a58a7220bba3	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	T CELL	T CELL	4	CD3D;TRBC1;TRAC;CD3G	ENSG00000167286;ENSG00000211751;ENSG00000277734;ENSG00000289746	Other
4	biorxiv	307b2bd7-6cb9-1014-a6b4-a58a7220bba3	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	T-CELL	T CELL	3	CD3D;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	Other
4	biorxiv	8e460cfc-7020-1014-9694-e5bf39316223	biorxiv:8e460cfc-7020-1014-9694-e5bf39316223	T CELL	T CELL	3	CD3D;CD3E;CD3G	ENSG00000167286;ENSG00000198851;ENSG00000289746	Other
4	biorxiv	c245f005-7ab6-1014-adbd-b49bd8bfffbc	biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc	T CELL	T CELL	3	CD3D;CD3E;TRAC	ENSG00000167286;ENSG00000198851;ENSG00000277734	Other
4	hca	0068_10.1093_ibd_izac201_351dddd961	hca:0068_10.1093_ibd_izac201_351dddd961	T CELL	T CELL	3	NKG7;BTG1;CD3D	ENSG00000105374;ENSG00000133639;ENSG00000167286	Cytotoxic
4	hca	0076_10.1016_j.cell.2021.01.053_e0734afb82	hca:0076_10.1016_j.cell.2021.01.053_e0734afb82	CD4 AND CD8 T CELLS	CD 4 AND CD 8 T CELLS	6	CD40LG;CD8A;CD3D;CD8B;CD3E;CD3G	ENSG00000102245;ENSG00000153563;ENSG00000167286;ENSG00000172116;ENSG00000198851;ENSG00000289746	Other
4	hca	0109_10.7554_elife.91792.1_056dda27be	hca:0109_10.7554_elife.91792.1_056dda27be	T CELLS	T CELLS	5	CD3D;CD247;CD3E;TRAC;CD3G	ENSG00000167286;ENSG00000198821;ENSG00000198851;ENSG00000277734;ENSG00000289746	Other
