mode	name_judgment	review_resolution_class	cell_type	paper_key_1	paper_key_2	shared_markers	unique_markers_1	unique_markers_2	pairwise_assessment	top_label_neighbor_marker_jaccard
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_granularity	EPITHELIAL CELL	biorxiv:2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	hca:0265_10.1038_s41591-019-0750-6_ba0c7c2ce5	CDH1;SOX9;SOX2	EPCAM;NKX2-1		Same broad epithelial label, but one paper resolves a more specific epithelial context.	0.6
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	OLIGODENDROCYTE	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	hca:0385_10.1038_s41586-022-04521-7_37f1f319e2	PLP1;MOBP;MBP	MOG;CR1		Same oligodendrocyte identity with one paper reporting an extended mature-oligodendrocyte marker set.	0.6
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_state_context	CDC1	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	hca:0139_10.1038_s41590-020-0602-z_71058e050d	BATF3;XCR1;CLEC9A		IDO1;CADM1	Same cDC1 identity with one paper capturing extra functional-state detail.	0.6
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_state_context	CDC1	biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a	hca:0139_10.1038_s41590-020-0602-z_71058e050d	XCR1;CADM1;CLEC9A		BATF3;IDO1	Same cDC1 identity with one paper capturing extra functional-state detail.	0.6
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_granularity	MONOCYTES	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	hca:0109_10.7554_elife.91792.1_056dda27be	S100A8;S100A9;CD14		FCN1;FCGR3A	Same monocyte label, but the marker difference reflects finer monocyte-subset granularity.	0.6
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_granularity	ICM	biorxiv:e7144333-745a-1014-ab12-e9455a30c9da	hca:0490_10.1038_nsmb.2660_4e6a41d8b9	NANOG;KLF4;SOX2	KLF17;POU5F1		Same broad ICM label, but the marker difference reflects developmental-stage granularity.	0.6
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	MACROPHAGE	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4	hca:0148_10.1113_jp287812_fd3137bc12	MSR1;MRC1	CD68	CD163	Same macrophage label with alternative canonical macrophage markers highlighted in each study.	0.5
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_state_context	MACROPHAGE	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	hca:0184_10.1016_j.cell.2021.07.023_f621bea088	CD14;FCGR3A	C1QB	VCAN	Same broad macrophage label, but the marker difference reflects different myeloid-state programs.	0.5
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_state_context	PLASMA CELL	biorxiv:64ab9878-6ed8-1014-99e3-9a1ae6ef730b	hca:0077_10.1038_s41587-020-0602-4_e82c5c2835	CD79A;SDC1	CD38	CD27	Same plasma-cell label resolved by different maturation-state emphasis.	0.5
Same label, partial marker overlap (0<J<1)	Context distinction	same_entity_state_context	PLASMA CELL	biorxiv:64ab9878-6ed8-1014-99e3-9a1ae6ef730b	hca:0113_10.1101_2021.04.28.441762_c83625bbe4	CD38;SDC1	CD79A	XBP1	Same plasma-cell label resolved by different maturation-state emphasis.	0.5
