cluster	profile_idx	profile_uid	paper_key	cell_type	normalized_cell_type	marker_names	marker_ids
1	1226	hca|0060_10.3389_fcell.2022.872688_ac00c45d48|VMSC	hca:0060_10.3389_fcell.2022.872688_ac00c45d48	VMSC	VMSC	ACTA2;CNN1;MYH11;TAGLN;TPM2	ENSG00000107796;ENSG00000130176;ENSG00000133392;ENSG00000149591;ENSG00000198467
1	1357	hca|0085_10.1073_pnas.2200914119_3dd916fb05|PERICYTES	hca:0085_10.1073_pnas.2200914119_3dd916fb05	PERICYTES	PERICYTES	NOTCH3;PDGFRB;ADCY3	ENSG00000074181;ENSG00000113721;ENSG00000155897
1	1387	hca|0089_10.1038_s41586-020-2797-4_6e65d21b5d|SMC2_ART	hca:0089_10.1038_s41586-020-2797-4_6e65d21b5d	SMC2_ART	SMC 2 ART	ACTA2;CNN1;TAGLN	ENSG00000107796;ENSG00000130176;ENSG00000149591
1	1438	hca|0094_10.1073_pnas.2404775121_07bae216d2|STRO-6	hca:0094_10.1073_pnas.2404775121_07bae216d2	STRO-6	STRO 6	ACTA2;MYH11;DES	ENSG00000107796;ENSG00000133392;ENSG00000175084
1	1439	hca|0094_10.1073_pnas.2404775121_07bae216d2|STROMAL	hca:0094_10.1073_pnas.2404775121_07bae216d2	STROMAL	STROMAL	ACTA2;COL1A1;PDGFRB;MYH11;THY1;DES	ENSG00000107796;ENSG00000108821;ENSG00000113721;ENSG00000133392;ENSG00000154096;ENSG00000175084
1	1445	hca|0095_10.1101_2021.09.16.460628_23a839e09f|MYOFIBROBLAST	hca:0095_10.1101_2021.09.16.460628_23a839e09f	MYOFIBROBLAST	MYOFIBROBLAST	ACTA2;PDGFRB;POSTN	ENSG00000107796;ENSG00000113721;ENSG00000133110
1	1447	hca|0095_10.1101_2021.09.16.460628_23a839e09f|SMOOTH MUSCLE	hca:0095_10.1101_2021.09.16.460628_23a839e09f	SMOOTH MUSCLE	SMOOTH MUSCLE	ACTA2;MYH11;DES	ENSG00000107796;ENSG00000133392;ENSG00000175084
1	1485	hca|0101_10.1038_s41467-020-15647-5_d22ec8f4b6|PERICYTE	hca:0101_10.1038_s41467-020-15647-5_d22ec8f4b6	PERICYTE	PERICYTE	MCAM;RGS5;CSPG4	ENSG00000076706;ENSG00000143248;ENSG00000173546
1	1529	hca|0109_10.7554_elife.91792.1_056dda27be|MYOFIBROBLASTS	hca:0109_10.7554_elife.91792.1_056dda27be	MYOFIBROBLASTS	MYOFIBROBLASTS	ACTA2;MYH11;ACTG2	ENSG00000107796;ENSG00000133392;ENSG00000163017
1	1559	hca|0118_10.1016_j.jid.2019.07.726_f70095db05|BASAL IFE	hca:0118_10.1016_j.jid.2019.07.726_f70095db05	BASAL IFE	BASAL IFE	COL17A1;KRT5;KRT14	ENSG00000065618;ENSG00000186081;ENSG00000186847
1	1616	hca|0132_10.1038_s41467-020-16239-z_001d78a35b|BASAL CELL	hca:0132_10.1038_s41467-020-16239-z_001d78a35b	BASAL CELL	BASAL CELL	TP63;IL33;KRT13;KRT5;KRT14	ENSG00000073282;ENSG00000137033;ENSG00000171401;ENSG00000186081;ENSG00000186847
1	1699	hca|0149_10.1038_s41368-023-00238-z_c77e60a0ab|MSC	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	MSC	MSC	ACTA2;MYH11;THY1	ENSG00000107796;ENSG00000133392;ENSG00000154096
1	1722	hca|0158_10.2337_db21-0830_d021248f76|KERA A	hca:0158_10.2337_db21-0830_d021248f76	KERA A	KERA A	KRT1;KRT10;KRT14	ENSG00000167768;ENSG00000186395;ENSG00000186847
1	1730	hca|0158_10.2337_db21-0830_d021248f76|SMOOTH MUSCLE CELL	hca:0158_10.2337_db21-0830_d021248f76	SMOOTH MUSCLE CELL	SMOOTH MUSCLE CELL	ACTA2;TAGLN;TPM2	ENSG00000107796;ENSG00000149591;ENSG00000198467
1	1756	hca|0164_10.1177_00220345221147908_13bf485ac8|BASAL	hca:0164_10.1177_00220345221147908_13bf485ac8	BASAL	BASAL	TP63;KRT5;KRT14	ENSG00000073282;ENSG00000186081;ENSG00000186847
1	1760	hca|0164_10.1177_00220345221147908_13bf485ac8|MYOEPITHELIAL CELL	hca:0164_10.1177_00220345221147908_13bf485ac8	MYOEPITHELIAL CELL	MYOEPITHELIAL CELL	TP63;ACTA2;CNN1	ENSG00000073282;ENSG00000107796;ENSG00000130176
1	1783	hca|0169_10.1038_s41586-022-04541-3_a47d9e6ca0|MESENCHYMAL	hca:0169_10.1038_s41586-022-04541-3_a47d9e6ca0	MESENCHYMAL	MESENCHYMAL	ACTA2;PDGFRB;PDGFRA	ENSG00000107796;ENSG00000113721;ENSG00000134853
1	1883	hca|0205_10.1038_s41588-020-0636-z_f39ba80540|PERICYTE	hca:0205_10.1038_s41588-020-0636-z_f39ba80540	PERICYTE	PERICYTE	ACTA2;RGS5;TAGLN	ENSG00000107796;ENSG00000143248;ENSG00000149591
1	1885	hca|0205_10.1038_s41588-020-0636-z_f39ba80540|VASCULAR SMOOTH MUSCLE CELL	hca:0205_10.1038_s41588-020-0636-z_f39ba80540	VASCULAR SMOOTH MUSCLE CELL	VASCULAR SMOOTH MUSCLE CELL	ACTA2;CNN1;MYH11;TAGLN;SYNPO2;DES	ENSG00000107796;ENSG00000130176;ENSG00000133392;ENSG00000149591;ENSG00000172403;ENSG00000175084
1	1913	hca|0210_10.1016_j.stem.2020.11.008_213dabcee4|VASCULAR SMOOTH MUSCLE CELL	hca:0210_10.1016_j.stem.2020.11.008_213dabcee4	VASCULAR SMOOTH MUSCLE CELL	VASCULAR SMOOTH MUSCLE CELL	ACTA2;RGS5;TAGLN	ENSG00000107796;ENSG00000143248;ENSG00000149591
1	1914	hca|0211_10.1016_j.cels.2022.06.005_7669df70b6|BASAL/MYOEPITHELIAL	hca:0211_10.1016_j.cels.2022.06.005_7669df70b6	BASAL/MYOEPITHELIAL	BASAL MYOEPITHELIAL	TP63;KRT5;KRT14	ENSG00000073282;ENSG00000186081;ENSG00000186847
1	1996	hca|0231_10.1101_2023.08.08.551504_0d646c9546|SPINOUS IFE KERATINOCYTE	hca:0231_10.1101_2023.08.08.551504_0d646c9546	SPINOUS IFE KERATINOCYTE	SPINOUS IFE KERATINOCYTE	LY6D;KRT1;KRT10	ENSG00000167656;ENSG00000167768;ENSG00000186395
1	2029	hca|0239_10.1038_s41467-021-24607-6_2a0350c2e5|PERICYTE	hca:0239_10.1038_s41467-021-24607-6_2a0350c2e5	PERICYTE	PERICYTE	PDGFRB;RGS5;CSPG4	ENSG00000113721;ENSG00000143248;ENSG00000173546
1	2044	hca|0243_10.1038_s41586-023-05915-x_2f4aafa6a2|PERICYTE	hca:0243_10.1038_s41586-023-05915-x_2f4aafa6a2	PERICYTE	PERICYTE	NOTCH3;RGS5;EBF1	ENSG00000074181;ENSG00000143248;ENSG00000164330
1	2046	hca|0243_10.1038_s41586-023-05915-x_2f4aafa6a2|SMOOTH MUSCLE/MYOFIBROBLAST	hca:0243_10.1038_s41586-023-05915-x_2f4aafa6a2	SMOOTH MUSCLE/MYOFIBROBLAST	SMOOTH MUSCLE MYOFIBROBLAST	ACTA2;MYH11;TAGLN	ENSG00000107796;ENSG00000133392;ENSG00000149591
1	2084	hca|0262_10.1038_s41586-018-0698-6_e4aeb353b8|DS1	hca:0262_10.1038_s41586-018-0698-6_e4aeb353b8	DS1	DS 1	ACTA2;DKK1;TAGLN	ENSG00000107796;ENSG00000107984;ENSG00000149591
1	2090	hca|0264_10.1186_s13059-022-02677-z_ec9d743757|CAF-S4	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CAF-S4	CAF S 4	PDGFRB;HLF;RGS5;CSPG4;CD248	ENSG00000113721;ENSG00000116016;ENSG00000143248;ENSG00000173546;ENSG00000174807
1	2129	hca|0274_10.1016_j.isci.2021.103592_3ec037cca1|C16	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	C16	C 16	ACTA2;TAGLN;KRT14	ENSG00000107796;ENSG00000149591;ENSG00000186847
1	2135	hca|0274_10.1016_j.isci.2021.103592_3ec037cca1|PC	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	PC	PC	NOTCH3;PDGFRB;RGS5	ENSG00000074181;ENSG00000113721;ENSG00000143248
1	2137	hca|0274_10.1016_j.isci.2021.103592_3ec037cca1|SMCS	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	SMCS	SMCS	MYL9;ACTA2;MYH1	ENSG00000101335;ENSG00000107796;ENSG00000109061
1	2193	hca|0284_10.1002_hep4.1854_fe09f5fe1e|MES3	hca:0284_10.1002_hep4.1854_fe09f5fe1e	MES3	MES 3	MYL9;ACTA2;TAGLN	ENSG00000101335;ENSG00000107796;ENSG00000149591
1	2260	hca|0293_10.1172_jci.insight.150861_5764a5bfad|VASCULAR MURAL CELL	hca:0293_10.1172_jci.insight.150861_5764a5bfad	VASCULAR MURAL CELL	VASCULAR MURAL CELL	NOTCH3;PDGFRB;RGS5	ENSG00000074181;ENSG00000113721;ENSG00000143248
1	2326	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_BASAL1	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_BASAL1	EPD BASAL 1	ITGA6;ITGB1;KRT5;KRT14	ENSG00000091409;ENSG00000150093;ENSG00000186081;ENSG00000186847
1	2327	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_BASAL2	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_BASAL2	EPD BASAL 2	ITGA6;ITGB1;KRT5;KRT14;HLA-DMA;HLA-DRA;HLA-C	ENSG00000091409;ENSG00000150093;ENSG00000186081;ENSG00000186847;ENSG00000204257;ENSG00000204287;ENSG00000204525
1	2328	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_BASAL3	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_BASAL3	EPD BASAL 3	ITGA6;ITGB1;KRT5;KRT14;HLA-DMA;HLA-DRA;HLA-C	ENSG00000091409;ENSG00000150093;ENSG00000186081;ENSG00000186847;ENSG00000204257;ENSG00000204287;ENSG00000204525
1	2329	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_CORNEUM	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_CORNEUM	EPD CORNEUM	GRHL1;KRT1;KRT10	ENSG00000134317;ENSG00000167768;ENSG00000186395
1	2331	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_GRANUALR/SPINOUS	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_GRANUALR/SPINOUS	EPD GRANUALR SPINOUS	GRHL1;KRT1;KRT10	ENSG00000134317;ENSG00000167768;ENSG00000186395
1	2332	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_GRANULAR	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_GRANULAR	EPD GRANULAR	GRHL1;KRT1;KRT10	ENSG00000134317;ENSG00000167768;ENSG00000186395
1	2334	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPD_SPINOUS	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPD_SPINOUS	EPD SPINOUS	GRHL1;KRT1;KRT10	ENSG00000134317;ENSG00000167768;ENSG00000186395
1	2335	hca|0307_10.1038_s41419-021-03724-6_32b837a8da|EPIDERMIS	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	EPIDERMIS	EPIDERMIS	KRT1;KRT10;KRT14	ENSG00000167768;ENSG00000186395;ENSG00000186847
1	2381	hca|0321_10.1002_stem.3302_bfd2270715|TP63 + 2D-IAT1	hca:0321_10.1002_stem.3302_bfd2270715	TP63 + 2D-IAT1	TP 63 2 D IAT 1	TP63;KRT17;SFN	ENSG00000073282;ENSG00000128422;ENSG00000175793
1	2382	hca|0322_10.3389_fonc.2021.719564_a0cfb67753|CAF	hca:0322_10.3389_fonc.2021.719564_a0cfb67753	CAF	CAF	ACTA2;TGFB1I1;TAGLN	ENSG00000107796;ENSG00000140682;ENSG00000149591
1	2557	hca|0364_10.1161_circulationaha.120.046528_00aa2deb4c|MSC1	hca:0364_10.1161_circulationaha.120.046528_00aa2deb4c	MSC1	MSC 1	PDGFRB;THY1;CSPG4	ENSG00000113721;ENSG00000154096;ENSG00000173546
1	2558	hca|0364_10.1161_circulationaha.120.046528_00aa2deb4c|MSC2	hca:0364_10.1161_circulationaha.120.046528_00aa2deb4c	MSC2	MSC 2	PDGFRB;THY1;CSPG4	ENSG00000113721;ENSG00000154096;ENSG00000173546
1	2568	hca|0364_10.1161_circulationaha.120.046528_00aa2deb4c|T_SWITCHED	hca:0364_10.1161_circulationaha.120.046528_00aa2deb4c	T_SWITCHED	T SWITCHED	MYH11;TPM1;TAGLN	ENSG00000133392;ENSG00000140416;ENSG00000149591
1	2577	hca|0365_10.3389_fendo.2022.874915_81de77d539|SMC	hca:0365_10.3389_fendo.2022.874915_81de77d539	SMC	SMC	ACTA2;MYH11;TAGLN	ENSG00000107796;ENSG00000133392;ENSG00000149591
1	2643	hca|0374_10.1136_annrheumdis-2018-214865_9f6cd4034f|SMOOTH MUSCLE CELL	hca:0374_10.1136_annrheumdis-2018-214865_9f6cd4034f	SMOOTH MUSCLE CELL	SMOOTH MUSCLE CELL	ACTA2;MYH11;DES;PLN	ENSG00000107796;ENSG00000133392;ENSG00000175084;ENSG00000198523
1	2653	hca|0375_10.1016_j.jaci.2021.07.025_bdc966c89b|KERATINOCYTE	hca:0375_10.1016_j.jaci.2021.07.025_bdc966c89b	KERATINOCYTE	KERATINOCYTE	KRT1;KRT5;KRT14	ENSG00000167768;ENSG00000186081;ENSG00000186847
1	2801	hca|0403_10.1038_s41467-019-11036-9_eff650140f|CL14	hca:0403_10.1038_s41467-019-11036-9_eff650140f	CL14	CL 14	ACTA2;MYH11;PLN	ENSG00000107796;ENSG00000133392;ENSG00000198523
1	2841	hca|0407_10.1093_humrep_deac183_7b0f560d74|SMCS	hca:0407_10.1093_humrep_deac183_7b0f560d74	SMCS	SMCS	ACTA2;CALD1;CNN1;MYH11;TAGLN;DES	ENSG00000107796;ENSG00000122786;ENSG00000130176;ENSG00000133392;ENSG00000149591;ENSG00000175084
1	2843	hca|0410_10.3389_fcell.2021.820274_b0973e038f|BASAL/STROMAL CELL	hca:0410_10.3389_fcell.2021.820274_b0973e038f	BASAL/STROMAL CELL	BASAL STROMAL CELL	RGS5;TAGLN;BCAM	ENSG00000143248;ENSG00000149591;ENSG00000187244
1	2845	hca|0410_10.3389_fcell.2021.820274_b0973e038f|BS2	hca:0410_10.3389_fcell.2021.820274_b0973e038f	BS2	BS 2	ACTA2;MYH11;TAGLN;ACTG2;DES	ENSG00000107796;ENSG00000133392;ENSG00000149591;ENSG00000163017;ENSG00000175084
1	2847	hca|0410_10.3389_fcell.2021.820274_b0973e038f|ED7	hca:0410_10.3389_fcell.2021.820274_b0973e038f	ED7	ED 7	DCN;ACTA2;LUM;RGS5;TAGLN	ENSG00000011465;ENSG00000107796;ENSG00000139329;ENSG00000143248;ENSG00000149591
1	2850	hca|0410_10.3389_fcell.2021.820274_b0973e038f|EPITHELIAL CELL	hca:0410_10.3389_fcell.2021.820274_b0973e038f	EPITHELIAL CELL	EPITHELIAL CELL	ODAM;KRT19;KRT14	ENSG00000109205;ENSG00000171345;ENSG00000186847
1	2876	hca|0418_10.1038_s42003-020-0922-4_8904851286|EPIDERMAL STEM CELL	hca:0418_10.1038_s42003-020-0922-4_8904851286	EPIDERMAL STEM CELL	EPIDERMAL STEM CELL	TP63;ITGA6;ITGB1;KRT5;KRT14	ENSG00000073282;ENSG00000091409;ENSG00000150093;ENSG00000186081;ENSG00000186847
1	2883	hca|0418_10.1038_s42003-020-0922-4_8904851286|PERICYTE	hca:0418_10.1038_s42003-020-0922-4_8904851286	PERICYTE	PERICYTE	ACTA2;PDGFRB;RGS5	ENSG00000107796;ENSG00000113721;ENSG00000143248
1	2982	hca|0436_10.1016_j.jtos.2020.12.004_24ddeb29a4|PROGENITOR	hca:0436_10.1016_j.jtos.2020.12.004_24ddeb29a4	PROGENITOR	PROGENITOR	KRT19;KRT15;KRT14	ENSG00000171345;ENSG00000171346;ENSG00000186847
1	3101	hca|0465_10.1016_j.cell.2020.12.016_af8ed7d941|MYOFIBROBLAST	hca:0465_10.1016_j.cell.2020.12.016_af8ed7d941	MYOFIBROBLAST	MYOFIBROBLAST	VIM;FOXF1;ACTA2;MYH11;RSPO2;TAGLN;ACTG2	ENSG00000026025;ENSG00000103241;ENSG00000107796;ENSG00000133392;ENSG00000147655;ENSG00000149591;ENSG00000163017
1	3112	hca|0467_10.1016_j.cell.2018.08.067_51639edc11|MYOFIBROBLASTS	hca:0467_10.1016_j.cell.2018.08.067_51639edc11	MYOFIBROBLASTS	MYOFIBROBLASTS	ACTA2;MYH11;ACTG2	ENSG00000107796;ENSG00000133392;ENSG00000163017
1	3248	hca|0492_10.1038_s41591-021-01332-7_1dacee7a8b|BASAL 1	hca:0492_10.1038_s41591-021-01332-7_1dacee7a8b	BASAL 1	BASAL 1	TP63;KRT15;KRT5	ENSG00000073282;ENSG00000171346;ENSG00000186081
2	8	biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97|CD8+ EXHAUSTED T CELL (TEXH)	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ EXHAUSTED T CELL (TEXH)	CD 8 EXHAUSTED T CELL TEXH	LAG3;HAVCR2;PDCD1	ENSG00000089692;ENSG00000135077;ENSG00000188389
2	94	biorxiv|1e500b21-6c04-1014-adde-c104b14bbdad|TERMINALLY-DIFFERENTIATED	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	TERMINALLY-DIFFERENTIATED	TERMINALLY DIFFERENTIATED	LAG3;HAVCR2;ENTPD1;CTLA4;PDCD1	ENSG00000089692;ENSG00000135077;ENSG00000138185;ENSG00000163599;ENSG00000188389
2	95	biorxiv|1e500b21-6c04-1014-adde-c104b14bbdad|TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL	TERMINALLY DIFFERENTIATED PHENOTYPE OF CD 8 T CELL	LAG3;GZMB;HAVCR2;CXCL13	ENSG00000089692;ENSG00000100453;ENSG00000135077;ENSG00000156234
2	96	biorxiv|1efd9fbe-6f02-1014-8df4-f37a8d806beb|CD197⁺ IL2R/IL7R⁺ MONOCYTE	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	CD197⁺ IL2R/IL7R⁺ MONOCYTE	CD 197 IL 2 R IL 7 R MONOCYTE	IL2RA;IL7R;IL3RA	ENSG00000134460;ENSG00000168685;ENSG00000185291
