resource	study_uid	context_uid	study_label	labelset	cell_type	normalized_cell_type	n_markers	n_local_private_markers	local_private_fraction	n_same_label_other_study_profiles	marker_fraction_recovered_by_same_label_other_studies	local_private_fraction_recovered_by_same_label_other_studies
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		STRAD13⁺ MACROPHAGE	STRAD 13 MACROPHAGE	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		TREM2HIGH MACROPHAGE	TREM 2 HIGH MACROPHAGE	4	2	0.5	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		TREM2LOW	TREM 2 LOW	3	1	0.3333333333333333	0		
LLMarkers	llmarkers|biorxiv|06056998-6fcf-1014-a978-d2cf5726c0ad	llmarkers|biorxiv|06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad		B CELL	B CELL	4	4	1.0	29	0.0	0.0
LLMarkers	llmarkers|biorxiv|0900c414-6db3-1014-86e7-ea4583587c92	llmarkers|biorxiv|0900c414-6db3-1014-86e7-ea4583587c92	biorxiv:0900c414-6db3-1014-86e7-ea4583587c92		LYZ+ CANCER CELL	LYZ CANCER CELL	4	4	1.0	0		
LLMarkers	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b		CLUSTER 3	CLUSTER 3	3	3	1.0	11	0.0	0.0
LLMarkers	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b		CLUSTER 4	CLUSTER 4	4	4	1.0	10	0.0	0.0
LLMarkers	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b		CLUSTER 5	CLUSTER 5	4	4	1.0	8	0.25	0.25
LLMarkers	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b		DM-ICOS	DM ICOS	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b		ICOS	ICOS	5	5	1.0	0		
LLMarkers	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	llmarkers|biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b		PHHS	PHHS	10	10	1.0	0		
LLMarkers	llmarkers|biorxiv|0a537c3c-6dba-1014-a3da-a09fc644eb0b	llmarkers|biorxiv|0a537c3c-6dba-1014-a3da-a09fc644eb0b	biorxiv:0a537c3c-6dba-1014-a3da-a09fc644eb0b		CD4+ MEMORY T CELL	CD 4 MEMORY T CELL	5	5	1.0	0		
LLMarkers	llmarkers|biorxiv|0b080d95-70b5-1014-9f85-f75794076023	llmarkers|biorxiv|0b080d95-70b5-1014-9f85-f75794076023	biorxiv:0b080d95-70b5-1014-9f85-f75794076023		EXDP2	EXDP 2	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0bcdadb5-70f3-1014-974d-abbf00aa9865	llmarkers|biorxiv|0bcdadb5-70f3-1014-974d-abbf00aa9865	biorxiv:0bcdadb5-70f3-1014-974d-abbf00aa9865		COVID-19 HUMAN BLOOD CELLS	COVID 19 HUMAN BLOOD CELLS	5	5	1.0	0		
LLMarkers	llmarkers|biorxiv|0bcdadb5-70f3-1014-974d-abbf00aa9865	llmarkers|biorxiv|0bcdadb5-70f3-1014-974d-abbf00aa9865	biorxiv:0bcdadb5-70f3-1014-974d-abbf00aa9865		MYOCARDIAL INFARCTION CELLS	MYOCARDIAL INFARCTION CELLS	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		AMINO ACID METABOLISM	AMINO ACID METABOLISM	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		EPI-4	EPI 4	4	4	1.0	2	0.0	0.0
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		EPITHELIAL DIFFERENTIATED	EPITHELIAL DIFFERENTIATED	3	0	0.0	0		
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		EPITHELIAL DIFFERENTIATION	EPITHELIAL DIFFERENTIATION	6	3	0.5	0		
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		IMMUNE-REGULATORY	IMMUNE REGULATORY	5	5	1.0	0		
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		PEMT-1	PEMT 1	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	llmarkers|biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd		TUMOR CELL	TUMOR CELL	6	6	1.0	2	0.0	0.0
LLMarkers	llmarkers|biorxiv|0c5b4463-70b4-1014-b7ae-f953f2710002	llmarkers|biorxiv|0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002		IMMUNOSUPPRESSIVE AND ANGIOGENIC	IMMUNOSUPPRESSIVE AND ANGIOGENIC	7	7	1.0	0		
LLMarkers	llmarkers|biorxiv|0c5b4463-70b4-1014-b7ae-f953f2710002	llmarkers|biorxiv|0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002		NDN CD10+	NDN CD 10	8	8	1.0	0		
LLMarkers	llmarkers|biorxiv|0c5b4463-70b4-1014-b7ae-f953f2710002	llmarkers|biorxiv|0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002		VASCULAR IMMATURE	VASCULAR IMMATURE	10	10	1.0	0		
LLMarkers	llmarkers|biorxiv|0d005ebb-6c05-1014-a888-cf4cdb861f63	llmarkers|biorxiv|0d005ebb-6c05-1014-a888-cf4cdb861f63	biorxiv:0d005ebb-6c05-1014-a888-cf4cdb861f63		LUMB	LUMB	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		D-HT29	D HT 29	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		EARLY ECLC-6	EARLY ECLC 6	4	0	0.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		EARLY U-HT29	EARLY U HT 29	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		ECLC	ECLC	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		EEC	EEC	4	4	1.0	2	0.0	0.0
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		EECLC-1	EECLC 1	4	1	0.25	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		GCLC	GCLC	10	10	1.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		ISC	ISC	4	2	0.5	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		ISCLC 1	ISCLC 1	5	1	0.2	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		ISCLCS	ISCLCS	7	3	0.42857142857142855	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		L-CELLS	L CELLS	4	1	0.25	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		PANETH CELLS	PANETH CELLS	5	3	0.6	1	0.4	0.3333333333333333
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		SECPLC	SECPLC	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		TALC-4	TALC 4	3	1	0.3333333333333333	0		
LLMarkers	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	llmarkers|biorxiv|0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181		U-HT29	U HT 29	4	0	0.0	0		
LLMarkers	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		ACINAR CELL	ACINAR CELL	3	3	1.0	6	0.3333333333333333	0.3333333333333333
LLMarkers	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		ALPHA CELL	ALPHA CELL	9	8	0.8888888888888888	5	0.5555555555555556	0.625
LLMarkers	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		BETA CELL	BETA CELL	21	19	0.9047619047619048	9	0.3333333333333333	0.3157894736842105
LLMarkers	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		DELTA CELL	DELTA CELL	6	5	0.8333333333333334	4	0.3333333333333333	0.2
LLMarkers	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	llmarkers|biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022		GAMMA CELL	GAMMA CELL	4	4	1.0	1	0.0	0.0
LLMarkers	llmarkers|biorxiv|11b72b7e-6c1b-1014-84e4-aaf6df161d14	llmarkers|biorxiv|11b72b7e-6c1b-1014-84e4-aaf6df161d14	biorxiv:11b72b7e-6c1b-1014-84e4-aaf6df161d14		CD11C+CD14+ GVHD CELL	CD 11 C CD 14 GVHD CELL	6	5	0.8333333333333334	0		
LLMarkers	llmarkers|biorxiv|11b72b7e-6c1b-1014-84e4-aaf6df161d14	llmarkers|biorxiv|11b72b7e-6c1b-1014-84e4-aaf6df161d14	biorxiv:11b72b7e-6c1b-1014-84e4-aaf6df161d14		GVHD MACROPHAGE	GVHD MACROPHAGE	5	4	0.8	0		
LLMarkers	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed		B MATURE	B MATURE	3	0	0.0	0		
LLMarkers	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed		B MEMORY	B MEMORY	3	1	0.3333333333333333	0		
LLMarkers	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed		B REGULATORY	B REGULATORY	3	0	0.0	0		
LLMarkers	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	llmarkers|biorxiv|1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed		TH17	TH 17	5	5	1.0	2	0.0	0.0
LLMarkers	llmarkers|biorxiv|166eb232-7528-1014-af8e-ff8db1c08d2e	llmarkers|biorxiv|166eb232-7528-1014-af8e-ff8db1c08d2e	biorxiv:166eb232-7528-1014-af8e-ff8db1c08d2e		MRC2HIGH HSC	MRC 2 HIGH HSC	4	4	1.0	0		
LLMarkers	llmarkers|biorxiv|1819420a-7028-1014-9d82-b8532c727b67	llmarkers|biorxiv|1819420a-7028-1014-9d82-b8532c727b67	biorxiv:1819420a-7028-1014-9d82-b8532c727b67		OB DOPA-GABA	OB DOPA GABA	6	6	1.0	0		
LLMarkers	llmarkers|biorxiv|1819420a-7028-1014-9d82-b8532c727b67	llmarkers|biorxiv|1819420a-7028-1014-9d82-b8532c727b67	biorxiv:1819420a-7028-1014-9d82-b8532c727b67		STRD D2 STRIOMAT HYBRID MSN	STRD D 2 STRIOMAT HYBRID MSN	4	4	1.0	0		
LLMarkers	llmarkers|biorxiv|1934a72f-6bf9-1014-9f9e-eb610960180d	llmarkers|biorxiv|1934a72f-6bf9-1014-9f9e-eb610960180d	biorxiv:1934a72f-6bf9-1014-9f9e-eb610960180d		CD4+ T CELL	CD 4 T CELL	3	3	1.0	16	0.6666666666666666	0.6666666666666666
LLMarkers	llmarkers|biorxiv|1b938bfc-6db4-1014-bcdd-aff1924d9f72	llmarkers|biorxiv|1b938bfc-6db4-1014-bcdd-aff1924d9f72	biorxiv:1b938bfc-6db4-1014-bcdd-aff1924d9f72		CLUSTER 0	CLUSTER 0	4	0	0.0	4	0.0	
LLMarkers	llmarkers|biorxiv|1b938bfc-6db4-1014-bcdd-aff1924d9f72	llmarkers|biorxiv|1b938bfc-6db4-1014-bcdd-aff1924d9f72	biorxiv:1b938bfc-6db4-1014-bcdd-aff1924d9f72		CLUSTER 3	CLUSTER 3	5	1	0.2	11	0.2	0.0
LLMarkers	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e		BREAST CANCER	BREAST CANCER	4	1	0.25	1	0.0	0.0
LLMarkers	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e		BREAST TUMOR CELLS	BREAST TUMOR CELLS	9	6	0.6666666666666666	0		
LLMarkers	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e		CHRONIC MYELOID LEUKEMIA	CHRONIC MYELOID LEUKEMIA	3	0	0.0	0		
LLMarkers	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e		CHRONIC MYELOID LEUKEMIA TUMOR CELLS	CHRONIC MYELOID LEUKEMIA TUMOR CELLS	11	8	0.7272727272727273	0		
LLMarkers	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e		MALIGNANT MELANOMA	MALIGNANT MELANOMA	3	2	0.6666666666666666	0		
LLMarkers	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	llmarkers|biorxiv|1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e		MALIGNANT MELANOMA CELLS	MALIGNANT MELANOMA CELLS	6	5	0.8333333333333334	0		
LLMarkers	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510		BRG1KD NPCS	BRG 1 KD NPCS	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510		CLUSTER 11	CLUSTER 11	3	3	1.0	2	0.0	0.0
LLMarkers	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510		NEURAL CREST CELL	NEURAL CREST CELL	5	3	0.6	0		
LLMarkers	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510		NEURAL CREST CELLS	NEURAL CREST CELLS	3	1	0.3333333333333333	0		
LLMarkers	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510		NEURONAL LINEAGE	NEURONAL LINEAGE	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	llmarkers|biorxiv|1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510		NPCS	NPCS	5	5	1.0	1	0.0	0.0
LLMarkers	llmarkers|biorxiv|1e0a6787-73c3-1014-991b-bc3d9c192616	llmarkers|biorxiv|1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616		HLA-DR-HIGH INTERMEDIATE MONOCYTES	HLA DR HIGH INTERMEDIATE MONOCYTES	5	0	0.0	0		
LLMarkers	llmarkers|biorxiv|1e0a6787-73c3-1014-991b-bc3d9c192616	llmarkers|biorxiv|1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616		ISG+ AP1 HIGH CLASSICAL MONOCYTES	ISG AP 1 HIGH CLASSICAL MONOCYTES	5	0	0.0	0		
LLMarkers	llmarkers|biorxiv|1e0a6787-73c3-1014-991b-bc3d9c192616	llmarkers|biorxiv|1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616		ISG+ AP1LOW CLASSICAL MONOCYTES	ISG AP 1 LOW CLASSICAL MONOCYTES	5	0	0.0	0		
