collection	doi	family	gene_names	n_genes	paper_id	profile_id	reported_label	title	year
biorxiv	10.1101/2024.04.15.589544	nk	"[""XCL1"", ""NCAM1"", ""KLRD1"", ""KLRF1""]"	4	300	2263	NK CELL	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	10.1101/2024.04.15.589544	naive_memory_t	"[""SELL"", ""TCF7"", ""LEF1"", ""CCR7""]"	4	300	2269	TN	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
biorxiv	10.1101/2024.05.01.591375	treg	"[""CD127"", ""CD25"", ""FOXP3""]"	3	325	2408	REGULATORY T CELL	Velociraptor: Cross-Platform Quantitative Search Using Hallmark Cell Features	2024
biorxiv	10.1101/2020.12.23.424147	naive_memory_t	"[""GZMA"", ""GZMB"", ""IFNG"", ""GZMH"", ""GNLY""]"	5	328	2449	ACTIVATED MEMORY CELL	Single cell analysis of blood mononuclear cells stimulated through CD3 and CD28 shows collateral activation of B and NK cells and demise of monocytes	2020
biorxiv	10.1101/2024.09.07.611010	exhausted_t	"[""CXCR3"", ""CXCR4"", ""CCL4"", ""ITGB1"", ""ITGA4"", ""CD2"", ""FYN"", ""DUSP2"", ""GZMK"", ""GZMA"", ""FOS"", ""JUN"", ""DUSP1"", ""GADD45B"", ""CCL5"", ""KLF2"", ""CD69"", ""KLRG1"", ""CCR7"", ""SELL"", ""LEF1"", ""CD8B"", ""LCK"", ""ZAP70"", ""LAT"", ""EOMES"", ""CD27"", ""CCR5"", ""HOPX"", ""TIGIT"", ""PDCD1"", ""LAG3"", ""CD8A"", ""IGTAE"", ""CD3D"", ""CD3E""]"	36	362	2707	CD8+ T CELL	Antigen specificity of clonally-enriched CD8+ T cells in multiple sclerosis	2024
biorxiv	10.1101/2024.11.28.625843	other_immune	"[""TNFRSF1A"", ""TNFRSF1B"", ""IFNAR1"", ""IFNAR2"", ""CCR1"", ""CSF2RA"", ""IL1R2"", ""IL1RAP"", ""IL6R"", ""IL6ST""]"	10	368	2737	NEUTROPHIL	Multi-omics analysis reveals key immunogenic signatures induced by oncolytic Zika virus infection of paediatric brain tumour cells	2024
biorxiv	10.1101/2024.01.12.574349	other_t	"[""CD86"", ""GBP1"", ""IDO1"", ""ISG15"", ""MX1"", ""PML"", ""SP100"", ""JAK2"", ""JAK3"", ""SRC"", ""RAF1"", ""RIPK2"", ""STAT1"", ""STAT3"", ""RELA"", ""JUN"", ""NFKB2"", ""NCOR1"", ""MAPK11"", ""NFKB1""]"	20	379	2837	M1	Delineation of signaling routes that underlie differences in macrophage phenotypic states	2024
biorxiv	10.1101/2025.09.03.673891	dendritic	"[""SDC2"", ""C5AR1"", ""GPC6""]"	3	380	2843	DENDRITIC CELL	Single-cell transcriptomics and machine learning reveal RNF144B and C5AR1 as immune-related biomarkers and therapeutic targets in myocardial infarction	2025
biorxiv	10.1101/2024.06.07.597878	monocyte	"[""S100A8"", ""S100A9"", ""CD14""]"	3	415	3111	MONOCYTE	HCNetlas: Human cell network atlas enabling cell type-resolved disease genetics	2024
biorxiv	10.1101/2025.11.22.689892	exhausted_t	"[""LAG3"", ""TIGIT"", ""HAVCR2"", ""SIRPG""]"	4	432	3274	CD8+ PROLIFERATING T CELL	Spatial and Single-Cell Transcriptomics Decipher the Crosstalk Environment of DEFB1+ Cancer Cells and IFI30+ Macrophages in Intrahepatic Cholangiocarcinoma	2025
biorxiv	10.1101/2025.11.22.689892	monocyte	"[""FCN1"", ""S100A8"", ""S100A9""]"	3	432	3291	MONOCYTE	Spatial and Single-Cell Transcriptomics Decipher the Crosstalk Environment of DEFB1+ Cancer Cells and IFI30+ Macrophages in Intrahepatic Cholangiocarcinoma	2025
biorxiv	10.1101/2024.12.31.630523	exhausted_t	"[""TIGIT"", ""TOX"", ""PDCD1"", ""LEF1"", ""CCR7"", ""TCF7"", ""SELL""]"	7	455	3472	CD4.9	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025
biorxiv	10.1101/2024.12.31.630523	treg	"[""LEF1"", ""SELL"", ""CCR7"", ""TCF7""]"	4	455	3499	TREG.1	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025
biorxiv	10.1101/2025.03.02.640812	other_t	"[""C1QB"", ""CD4"", ""CD163"", ""CXCL9""]"	4	456	3509	CXCL9-POSITIVE	A highly resolved integrated single-cell atlas of HPV-negative head and neck cancer	2025
biorxiv	10.1101/2024.05.15.594316	other_t	"[""GZMB"", ""GZMA"", ""PRF1""]"	3	492	3819	CD8T_GZMB	Single-cell transcriptomics reveals immunosuppressive microenvironment and highlights stumor-promoting macrophage cells in Glioblastoma	2024
biorxiv	10.1101/2020.04.30.070839	naive_memory_t	"[""MAFB"", ""HLA-DR"", ""CD1C"", ""CCR7"", ""CD40"", ""CD80"", ""LAMP3"", ""IRF4"", ""IRF8"", ""FLT3"", ""ZBTB46""]"	11	495	3856	DCS	Human and mouse transcriptome profiling identifies cross-species homology in pulmonary and lymph node mononuclear phagocytes	2020
biorxiv	10.1101/2021.12.06.471423	nk	"[""NKG7"", ""GZMA"", ""GNLY"", ""CCL5"", ""CCL4""]"	5	503	3913	CYTOTOXIC PLASMA CELL	Revised International Staging System (R-ISS) stage-dependent analysis uncovers oncogenes and potential immunotherapeutic targets in multiple myeloma	2021
biorxiv	10.1101/2021.12.06.471423	b_plasma	"[""CD138"", ""RPS2"", ""RPL26""]"	3	503	3915	PLASMA CELL	Revised International Staging System (R-ISS) stage-dependent analysis uncovers oncogenes and potential immunotherapeutic targets in multiple myeloma	2021
