component	source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	n_markers	marker_names	marker_ids	label_group	marker_program
2	hca	0494_10.1038_s41467-021-27895-0_bbe3158fbf	hca:0494_10.1038_s41467-021-27895-0_bbe3158fbf	MACROPHAGE	MACROPHAGE	3	MSR1;C1QB;CD163	ENSG00000038945;ENSG00000173369;ENSG00000177575	Macrophage	Complement macrophage-like
3	biorxiv	ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	MONOCYTE	MONOCYTE	3	CD14;CSF1R;TREML4	ENSG00000170458;ENSG00000182578;ENSG00000188056	Monocyte	Inflammatory monocyte-like
3	biorxiv	e3312584-7421-1014-b0a7-823d4471ccf1	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	MACROPHAGE	MACROPHAGE	3	CD14;C1QB;FCGR3A	ENSG00000170458;ENSG00000173369;ENSG00000203747	Macrophage	Inflammatory monocyte-like
3	hca	0060_10.3389_fcell.2022.872688_ac00c45d48	hca:0060_10.3389_fcell.2022.872688_ac00c45d48	MACROPHAGE	MACROPHAGE	3	CD68;CD14;CD163	ENSG00000129226;ENSG00000170458;ENSG00000177575	Macrophage	Complement macrophage-like
3	hca	0095_10.1101_2021.09.16.460628_23a839e09f	hca:0095_10.1101_2021.09.16.460628_23a839e09f	MACROPHAGE	MACROPHAGE	3	CD68;ITGAX;CD163	ENSG00000129226;ENSG00000140678;ENSG00000177575	Macrophage	Complement macrophage-like
3	hca	0149_10.1038_s41368-023-00238-z_c77e60a0ab	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	MONOCYTE CELL LINEAGE	MONOCYTE CELL LINEAGE	3	CD14;CD163;CSF1R	ENSG00000170458;ENSG00000177575;ENSG00000182578	Monocyte	Complement macrophage-like
3	hca	0164_10.1177_00220345221147908_13bf485ac8	hca:0164_10.1177_00220345221147908_13bf485ac8	MONOCYTE	MONOCYTE	3	CD68;ITGAX;AIF1	ENSG00000129226;ENSG00000140678;ENSG00000204472	Monocyte	Complement macrophage-like
3	hca	0184_10.1016_j.cell.2021.07.023_f621bea088	hca:0184_10.1016_j.cell.2021.07.023_f621bea088	MACROPHAGE	MACROPHAGE	3	VCAN;CD14;FCGR3A	ENSG00000038427;ENSG00000170458;ENSG00000203747	Macrophage	Inflammatory monocyte-like
3	hca	0228_10.1128_mbio.02583-20_5085db2792	hca:0228_10.1128_mbio.02583-20_5085db2792	MACROPHAGE	MACROPHAGE	3	SIGLEC1;CD14;CD163	ENSG00000088827;ENSG00000170458;ENSG00000177575	Macrophage	Inflammatory monocyte-like
3	hca	0393_10.1038_s42255-022-00531-x_b92878970e	hca:0393_10.1038_s42255-022-00531-x_b92878970e	MACROPHAGES	MACROPHAGES	4	SPI1;CD68;CD14;FCGR3A	ENSG00000066336;ENSG00000129226;ENSG00000170458;ENSG00000203747	Macrophage	Inflammatory monocyte-like
3	hca	0418_10.1038_s42003-020-0922-4_8904851286	hca:0418_10.1038_s42003-020-0922-4_8904851286	MACROPHAGES AND DENDRITIC CELLS	MACROPHAGES AND DENDRITIC CELLS	5	LYZ;CD68;ITGAX;HLA-DRA;AIF1	ENSG00000090382;ENSG00000129226;ENSG00000140678;ENSG00000204287;ENSG00000204472	Mixed	Inflammatory monocyte-like
3	hca	0420_10.1111_cas.15979_052ebae233	hca:0420_10.1111_cas.15979_052ebae233	MACROPHAGE	MACROPHAGE	3	CD68;CD14;FCGR3A	ENSG00000129226;ENSG00000170458;ENSG00000203747	Macrophage	Inflammatory monocyte-like
4	biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	MAST CELL	MAST CELL	3	KIT;TPSAB1;TPSB2	ENSG00000157404;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	biorxiv	6ca25eee-7853-1014-8aed-fc8cff0a87e5	biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5	MAST CELL	MAST CELL	3	MS4A2;KIT;TPSB2	ENSG00000149534;ENSG00000157404;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	biorxiv	a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	MAST CELL	MAST CELL	3	CPA3;MS4A2;TPSAB1	ENSG00000128510;ENSG00000149534;ENSG00000172236	Mast/granulocyte	Mast/granulocyte-like
4	biorxiv	db8af155-6c8b-1014-b5f3-cedb7b3b1723	biorxiv:db8af155-6c8b-1014-b5f3-cedb7b3b1723	MAST CELL	MAST CELL	3	CPA3;TPSAB1;TPSB2	ENSG00000128510;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	hca	0095_10.1101_2021.09.16.460628_23a839e09f	hca:0095_10.1101_2021.09.16.460628_23a839e09f	MAST CELL	MAST CELL	3	MS4A2;KIT;TPSB2	ENSG00000149534;ENSG00000157404;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	hca	0158_10.2337_db21-0830_d021248f76	hca:0158_10.2337_db21-0830_d021248f76	MAST CELL	MAST CELL	3	CPA3;TPSAB1;TPSB2	ENSG00000128510;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	hca	0326_10.1016_j.cmet.2016.08.020_b710322bb3	hca:0326_10.1016_j.cmet.2016.08.020_b710322bb3	MAST CELL	MAST CELL	3	TPSD1;TPSAB1;TPSB2	ENSG00000095917;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	hca	0410_10.3389_fcell.2021.820274_b0973e038f	hca:0410_10.3389_fcell.2021.820274_b0973e038f	MAST CELL	MAST CELL	4	CPA3;KIT;TPSAB1;TPSB2	ENSG00000128510;ENSG00000157404;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	hca	0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca:0465_10.1016_j.cell.2020.12.016_af8ed7d941	MAST CELL	MAST CELL	3	CPA3;TPSAB1;TPSB2	ENSG00000128510;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
4	hca	0493_10.1161_circulationaha.119.045401_814f085618	hca:0493_10.1161_circulationaha.119.045401_814f085618	MAST CELL	MAST CELL	3	MS4A2;TPSAB1;TPSB2	ENSG00000149534;ENSG00000172236;ENSG00000197253	Mast/granulocyte	Mast/granulocyte-like
5	biorxiv	d2042444-7138-1014-94ac-a1f590fd3173	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	CDC1	CDC 1	3	BATF3;XCR1;CLEC9A	ENSG00000123685;ENSG00000173578;ENSG00000197992	Dendritic	cDC1-like
5	biorxiv	fa200037-7001-1014-b4a8-b2d1b5dda72e	biorxiv:fa200037-7001-1014-b4a8-b2d1b5dda72e	CDC1	CDC 1	6	TLR3;XCR1;CD141;CADM1;BTLA;CLEC9A	ENSG00000164342;ENSG00000173578;ENSG00000178726;ENSG00000182985;ENSG00000186265;ENSG00000197992	Dendritic	cDC1-like
5	biorxiv	fc7595eb-733c-1014-9892-ed444a916a2a	biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a	CDC1	CDC 1	3	XCR1;CADM1;CLEC9A	ENSG00000173578;ENSG00000182985;ENSG00000197992	Dendritic	cDC1-like
5	hca	0083_10.1126_sciimmunol.adz8650_c0046d094c	hca:0083_10.1126_sciimmunol.adz8650_c0046d094c	CDC1	CDC 1	3	ID2;CADM1;CLEC9A	ENSG00000115738;ENSG00000182985;ENSG00000197992	Dendritic	cDC1-like
5	hca	0109_10.7554_elife.91792.1_056dda27be	hca:0109_10.7554_elife.91792.1_056dda27be	CDC1	CDC 1	3	BATF3;XCR1;CLEC9A	ENSG00000123685;ENSG00000173578;ENSG00000197992	Dendritic	cDC1-like
5	hca	0139_10.1038_s41590-020-0602-z_71058e050d	hca:0139_10.1038_s41590-020-0602-z_71058e050d	CDC1	CDC 1	5	BATF3;IDO1;XCR1;CADM1;CLEC9A	ENSG00000123685;ENSG00000131203;ENSG00000173578;ENSG00000182985;ENSG00000197992	Dendritic	cDC1-like
5	hca	0474_10.3389_fimmu.2021.689019_ff96e36403	hca:0474_10.3389_fimmu.2021.689019_ff96e36403	CDC1	CDC 1	5	CPVL;SERPINF2;XCR1;CADM1;CLEC9A	ENSG00000106066;ENSG00000167711;ENSG00000173578;ENSG00000182985;ENSG00000197992	Dendritic	cDC1-like
