source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	n_markers	n_local_private_markers	local_private_fraction	n_same_label_other_paper_profiles	n_same_label_other_paper_markers	marker_fraction_recovered_by_same_label_other_papers	local_private_fraction_recovered_by_same_label_other_papers	n_same_neighborhood_other_paper_profiles	marker_fraction_recovered_by_same_neighborhood_other_papers	local_private_marker_names
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	GC1	GC 1		3	3	1.0	1	5	0.0	0.0	0		BCL6; NEIL1; RGS13
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	INFLAMMATORY CANCER-ASSOCIATED FIBROBLAST (ICAFS)	INFLAMMATORY CANCER ASSOCIATED FIBROBLAST ICAFS	fibroblast/stromal	3	3	1.0	0	0			148	1.0	DCN; PDGFRA; CXCL1
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	MAST CELL	MAST CELL		3	3	1.0	14	19	1.0	1.0	0		KIT; TPSAB1; TPSB2
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	MYOFIBROBLAST-LIKE CAF (MYCAFS)	MYOFIBROBLAST LIKE CAF MYCAFS	fibroblast/stromal	3	3	1.0	0	0			148	0.6666666666666666	COL1A1; MFAP2; POSTN
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	PLASMA CELL	PLASMA CELL	B cell	3	3	1.0	15	29	1.0	1.0	92	1.0	JCHAIN; MZB1; IGHG4
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	STRAD13⁺ MACROPHAGE	STRAD 13 MACROPHAGE	monocyte/macrophage	3	3	1.0	0	0			201	0.6666666666666666	STARD13; CD163; MRC1
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	TREM2HIGH MACROPHAGE	TREM 2 HIGH MACROPHAGE	monocyte/macrophage	4	2	0.5	0	0			201	1.0	TREM2; SPP1
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	TREM2LOW	TREM 2 LOW		3	1	0.3333333333333333	0	0			0		C1QC
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	B CELL	B CELL	B cell	4	4	1.0	29	46	0.0	0.0	92	0.75	LY86; JCHAIN; IGLC3; IGLL5
biorxiv	0900c414-6db3-1014-86e7-ea4583587c92	biorxiv:0900c414-6db3-1014-86e7-ea4583587c92	LYZ+ CANCER CELL	LYZ CANCER CELL		4	4	1.0	0	0			0		LYZ; KDELR3; SOX9; ALDOB
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 3	CLUSTER 3		3	3	1.0	11	83	0.0	0.0	0		GLUL; CYP1A2; CYP3A4
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 4	CLUSTER 4		4	4	1.0	10	67	0.0	0.0	0		GADD45B; SERPINE1; TNFAIP3; G0S2
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	CLUSTER 5	CLUSTER 5		4	4	1.0	8	36	0.25	0.25	0		DCN; CD74; ZEB2; TCF4
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	DM-ICOS	DM ICOS		3	3	1.0	0	0			0		MUC5B; TFF3; TFF1
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	ICOS	ICOS		5	5	1.0	0	0			0		EPCAM; EHF; KRT7; ELF3; KRT19
biorxiv	09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	PHHS	PHHS		10	10	1.0	0	0			0		PPARGC1A; FOXP1; EGR1; FOSB; JUND; FOXO1; ATF3; FOS; JUNB; JUN
biorxiv	0a537c3c-6dba-1014-a3da-a09fc644eb0b	biorxiv:0a537c3c-6dba-1014-a3da-a09fc644eb0b	CD4+ MEMORY T CELL	CD 4 MEMORY T CELL	T cell	5	5	1.0	0	0			255	0.4	GIMAP4; DUSP2; GIMAP7; SOCS1; GIMAP1
biorxiv	0b080d95-70b5-1014-9f85-f75794076023	biorxiv:0b080d95-70b5-1014-9f85-f75794076023	EXDP2	EXDP 2		3	3	1.0	0	0			0		STXBP1; GABRB2; GRIN2B
biorxiv	0bcdadb5-70f3-1014-974d-abbf00aa9865	biorxiv:0bcdadb5-70f3-1014-974d-abbf00aa9865	COVID-19 HUMAN BLOOD CELLS	COVID 19 HUMAN BLOOD CELLS		5	5	1.0	0	0			0		CXCL2; CCL20; IFITM3; CXCL3; CCR4
biorxiv	0bcdadb5-70f3-1014-974d-abbf00aa9865	biorxiv:0bcdadb5-70f3-1014-974d-abbf00aa9865	MYOCARDIAL INFARCTION CELLS	MYOCARDIAL INFARCTION CELLS		3	3	1.0	0	0			0		MYH7; NPPB; ANKRD1
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	AMINO ACID METABOLISM	AMINO ACID METABOLISM		3	3	1.0	0	0			0		ASNS; PHGDH; PSAT1
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPI-4	EPI 4		4	4	1.0	2	9	0.0	0.0	0		ADIRF; PSCA; KLK6; KLK7
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPITHELIAL DIFFERENTIATED	EPITHELIAL DIFFERENTIATED	epithelial	3	0	0.0	0	0			122	0.6666666666666666	
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	EPITHELIAL DIFFERENTIATION	EPITHELIAL DIFFERENTIATION	epithelial	6	3	0.5	0	0			122	0.6666666666666666	S100A7; KRT6B; KRT16
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	IMMUNE-REGULATORY	IMMUNE REGULATORY		5	5	1.0	0	0			0		CXCL2; CCL20; CXCL3; CXCL1; CXCL8
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	PEMT-1	PEMT 1		3	3	1.0	0	0			0		F3; THBS1; CYR61
biorxiv	0bd28b37-6e2e-1014-871e-a496f0a6bacd	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	TUMOR CELL	TUMOR CELL		6	6	1.0	2	7	0.0	0.0	0		KRT17; SFN; KRT5; KRT14; S100A2; S100A14
biorxiv	0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	IMMUNOSUPPRESSIVE AND ANGIOGENIC	IMMUNOSUPPRESSIVE AND ANGIOGENIC		7	7	1.0	0	0			0		CTSD; SCARB2; ARG1; ECM1; S100A7; LAMP1; S100A10
biorxiv	0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	NDN CD10+	NDN CD 10		8	8	1.0	0	0			0		SLC2A3; MMP9; MMP8; S100A8; ITGB2; S100A9; ITGAM; FCGR3A
biorxiv	0c5b4463-70b4-1014-b7ae-f953f2710002	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	VASCULAR IMMATURE	VASCULAR IMMATURE	endothelial	10	10	1.0	0	0			74	0.0	ACAT1; CEBPE; IMMT; PCNA; RPL7; IDH3A; PDHB; RPL4; RPL15; TOMM5
biorxiv	0d005ebb-6c05-1014-a888-cf4cdb861f63	biorxiv:0d005ebb-6c05-1014-a888-cf4cdb861f63	LUMB	LUMB		3	3	1.0	0	0			0		EREG; PR; ERBB2
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	D-HT29	D HT 29		3	3	1.0	0	0			0		IGFBP2; CXCR4; FOXA2
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	EARLY ECLC-6	EARLY ECLC 6		4	0	0.0	0	0			0		
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	EARLY U-HT29	EARLY U HT 29		3	3	1.0	0	0			0		CD9; CRABP2; S100A4
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	ECLC	ECLC		3	3	1.0	0	0			0		APOA4; FABP2; ANPEP
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	EEC	EEC		4	4	1.0	2	21	0.0	0.0	0		CHGB; CHGA; PAX4; INSM1
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	EECLC-1	EECLC 1		4	1	0.25	0	0			0		SST
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	GCLC	GCLC		10	10	1.0	0	0			0		SLC12A2; SIRT2; CA9; SPDEF; EGLN3; ADAM8; TFF3; AQP3; MUC2; FCGBP
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	ISC	ISC		4	2	0.5	0	0			0		OLFM4; ASCL2
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	ISCLC 1	ISCLC 1		5	1	0.2	0	0			0		SOX2
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	ISCLCS	ISCLCS		7	3	0.42857142857142855	0	0			0		PROM1; AFP; ALB
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	L-CELLS	L CELLS		4	1	0.25	0	0			0		PROX1
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	PANETH CELLS	PANETH CELLS		5	3	0.6	1	3	0.4	0.3333333333333333	0		DEFA5; DEFA4; PRSS2
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	SECPLC	SECPLC		3	3	1.0	0	0			0		STMN1; SOX4; HES6
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	TALC-4	TALC 4		3	1	0.3333333333333333	0	0			0		GNRH2
biorxiv	0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	U-HT29	U HT 29		4	0	0.0	0	0			0		
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	ACINAR CELL	ACINAR CELL		3	3	1.0	6	21	0.3333333333333333	0.3333333333333333	0		CPA1; CELA3A; CTRB2
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	ALPHA CELL	ALPHA CELL		9	8	0.8888888888888888	5	39	0.5555555555555556	0.625	0		GCG; TTR; CLU; PCSK2; DDC; SQOR; ALDH1A1; DPP4
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	BETA CELL	BETA CELL		21	19	0.9047619047619048	9	55	0.3333333333333333	0.3157894736842105	0		ERO1B; GNAS; ASB9; BPNT2; GDAP1; STX1A; NPTX2; CPE; ALG2; IAPP; APOBEC2; HADH; ABHD10; CPLX2; G6PC2; SLC18A2; GPD1; CADM1; RDH14
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	DELTA CELL	DELTA CELL		6	5	0.8333333333333334	4	18	0.3333333333333333	0.2	0		EFS; RBP4; SEC11C; PCP4; SERPINA1
biorxiv	10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	GAMMA CELL	GAMMA CELL		4	4	1.0	1	8	0.0	0.0	0		SYNE2; TUBB2A; IGFBP7; GPX1
biorxiv	11b72b7e-6c1b-1014-84e4-aaf6df161d14	biorxiv:11b72b7e-6c1b-1014-84e4-aaf6df161d14	CD11C+CD14+ GVHD CELL	CD 11 C CD 14 GVHD CELL		6	5	0.8333333333333334	0	0			0		CD209; FCGR1A; SIRPA; FCGR3A; MRC1
biorxiv	11b72b7e-6c1b-1014-84e4-aaf6df161d14	biorxiv:11b72b7e-6c1b-1014-84e4-aaf6df161d14	GVHD MACROPHAGE	GVHD MACROPHAGE	monocyte/macrophage	5	4	0.8	0	0			202	1.0	F13A1; MERTK; CD14; MAF
biorxiv	1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	B MATURE	B MATURE		3	0	0.0	0	0			0		
biorxiv	1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	B MEMORY	B MEMORY		3	1	0.3333333333333333	0	0			0		HSPB1
biorxiv	1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	B REGULATORY	B REGULATORY		3	0	0.0	0	0			0		
biorxiv	1219c420-6c6a-1014-afb9-e13c88e111ed	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	TH17	TH 17		5	5	1.0	2	6	0.0	0.0	0		CD4; KLRB1; STAT6; CCR4; CXCR3
biorxiv	166eb232-7528-1014-af8e-ff8db1c08d2e	biorxiv:166eb232-7528-1014-af8e-ff8db1c08d2e	MRC2HIGH HSC	MRC 2 HIGH HSC		4	4	1.0	0	0			0		NR4A1; GATA6; NR4A2; WT1
biorxiv	1819420a-7028-1014-9d82-b8532c727b67	biorxiv:1819420a-7028-1014-9d82-b8532c727b67	OB DOPA-GABA	OB DOPA GABA		6	6	1.0	0	0			0		PAX6; SCGN; DDC; SP8; SLC18A2; TH
biorxiv	1819420a-7028-1014-9d82-b8532c727b67	biorxiv:1819420a-7028-1014-9d82-b8532c727b67	STRD D2 STRIOMAT HYBRID MSN	STRD D 2 STRIOMAT HYBRID MSN		4	4	1.0	0	0			0		FAT1; SMYD2; HTR7; NTNG1
biorxiv	1934a72f-6bf9-1014-9f9e-eb610960180d	biorxiv:1934a72f-6bf9-1014-9f9e-eb610960180d	CD4+ T CELL	CD 4 T CELL	T cell	3	3	1.0	16	90	0.6666666666666666	0.6666666666666666	255	1.0	BACH2; IL10; JUN
biorxiv	1b938bfc-6db4-1014-bcdd-aff1924d9f72	biorxiv:1b938bfc-6db4-1014-bcdd-aff1924d9f72	CLUSTER 0	CLUSTER 0		4	0	0.0	4	19	0.0		0		
biorxiv	1b938bfc-6db4-1014-bcdd-aff1924d9f72	biorxiv:1b938bfc-6db4-1014-bcdd-aff1924d9f72	CLUSTER 3	CLUSTER 3		5	1	0.2	11	82	0.2	0.0	0		MYH11
biorxiv	1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e	BREAST CANCER	BREAST CANCER		4	1	0.25	1	4	0.0	0.0	0		MUCL1
biorxiv	1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e	BREAST TUMOR CELLS	BREAST TUMOR CELLS		9	6	0.6666666666666666	0	0			0		MGST1; AGR2; CLU; AZGP1; TM4SF1; HLA-B
biorxiv	1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e	CHRONIC MYELOID LEUKEMIA	CHRONIC MYELOID LEUKEMIA	monocyte/macrophage	3	0	0.0	0	0			201	0.6666666666666666	
biorxiv	1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e	CHRONIC MYELOID LEUKEMIA TUMOR CELLS	CHRONIC MYELOID LEUKEMIA TUMOR CELLS	monocyte/macrophage	11	8	0.7272727272727273	0	0			201	0.2727272727272727	SAT1; ATRAID; PSMB6; DBI; NDUFA12; SELL; SNORD102; TSTD1
biorxiv	1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e	MALIGNANT MELANOMA	MALIGNANT MELANOMA		3	2	0.6666666666666666	0	0			0		RGS1; MIA
biorxiv	1c7188d4-6df9-1014-ac27-b7cf1f27940e	biorxiv:1c7188d4-6df9-1014-ac27-b7cf1f27940e	MALIGNANT MELANOMA CELLS	MALIGNANT MELANOMA CELLS		6	5	0.8333333333333334	0	0			0		DUSP1; FOS; IFITM1; HSPA1A; TMSB4X
biorxiv	1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	BRG1KD NPCS	BRG 1 KD NPCS		3	3	1.0	0	0			0		PAX3; ZIC1; MSX1
biorxiv	1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	CLUSTER 11	CLUSTER 11		3	3	1.0	2	14	0.0	0.0	0		CCNO; RSPH1; CDC20B
biorxiv	1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	NEURAL CREST CELL	NEURAL CREST CELL		5	3	0.6	0	0			0		SOX10; ETS1; TFAP2A
biorxiv	1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	NEURAL CREST CELLS	NEURAL CREST CELLS		3	1	0.3333333333333333	0	0			0		TFAP2B
biorxiv	1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	NEURONAL LINEAGE	NEURONAL LINEAGE		3	3	1.0	0	0			0		STMN2; NHLH1; ELAVL3
biorxiv	1d26f338-6e4a-1014-b712-c54808557510	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	NPCS	NPCS		5	5	1.0	1	13	0.0	0.0	0		LHX5; SOX21; CDH8; POU3F1; HES5
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	HLA-DR-HIGH INTERMEDIATE MONOCYTES	HLA DR HIGH INTERMEDIATE MONOCYTES	monocyte/macrophage	5	0	0.0	0	0			199	0.6	
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	ISG+ AP1 HIGH CLASSICAL MONOCYTES	ISG AP 1 HIGH CLASSICAL MONOCYTES	monocyte/macrophage	5	0	0.0	0	0			199	0.6	
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	ISG+ AP1LOW CLASSICAL MONOCYTES	ISG AP 1 LOW CLASSICAL MONOCYTES	monocyte/macrophage	5	0	0.0	0	0			199	0.6	
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	ISG+ GZMK+ EFFECTOR MEMORY CD8+ T CELL	ISG GZMK EFFECTOR MEMORY CD 8 T CELL	T cell	6	5	0.8333333333333334	0	0			254	0.8333333333333334	GZMK; IFIT3; IFIT2; OASL; IFIT1
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	ISG+ NAIVE CD4+ T CELL	ISG NAIVE CD 4 T CELL	T cell	3	0	0.0	0	0			254	1.0	
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	ISG+ NON-CLASSICAL MONOCYTES	ISG NON CLASSICAL MONOCYTES	monocyte/macrophage	5	0	0.0	0	0			199	0.6	
biorxiv	1e0a6787-73c3-1014-991b-bc3d9c192616	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	TRANSITIONAL B	TRANSITIONAL B		6	6	1.0	0	0			0		CD38; FCER2; VPREB3; IL-16; IGHD; CD24
biorxiv	1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL	CEFX SPECIFIC BRAIN METASTASIS INFILTRATING PD 1 CD 8 T CELL	T cell	3	3	1.0	0	0			254	1.0	TCF7; IL7R; TOX
biorxiv	1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	CLUSTER 6	CLUSTER 6		4	3	0.75	2	10	0.0	0.0	0		CD38; MKI67; CD28
biorxiv	1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	TERMINALLY-DIFFERENTIATED	TERMINALLY DIFFERENTIATED		5	2	0.4	0	0			0		ENTPD1; CTLA4
biorxiv	1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL	TERMINALLY DIFFERENTIATED PHENOTYPE OF CD 8 T CELL	T cell	4	2	0.5	0	0			254	1.0	GZMB; CXCL13
biorxiv	1efd9fbe-6f02-1014-8df4-f37a8d806beb	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	CD197⁺ IL2R/IL7R⁺ MONOCYTE	CD 197 IL 2 R IL 7 R MONOCYTE	monocyte/macrophage	3	0	0.0	0	0			201	0.3333333333333333	
biorxiv	1efd9fbe-6f02-1014-8df4-f37a8d806beb	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	MONOCYTE	MONOCYTE	monocyte/macrophage	5	2	0.4	23	61	0.0	0.0	201	0.4	CD274; BCL-2
biorxiv	1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	CD14+ MONOCYTE	CD 14 MONOCYTE	monocyte/macrophage	4	4	1.0	2	12	1.0	1.0	202	1.0	LYZ; LGALS3; S100A8; CD14
biorxiv	1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	NATURAL KILLER CELL	NATURAL KILLER CELL	NK cell	3	3	1.0	0	0			61	1.0	NKG7; KLRB1; GNLY
biorxiv	1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	CYTOTOXIC	CYTOTOXIC		12	12	1.0	2	7	0.25	0.25	0		CST7; GZMH; GZMB; NKG7; IFNG; KLRB1; GNLY; KLRD1; GZMA; CTSW; PRF1; KLRK1
biorxiv	1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	NAÏVE T CELL	NAIVE T CELL	T cell	4	4	1.0	2	8	0.75	0.75	254	1.0	TCF7; CCR7; LEF1; SELL
